VFB_ID	external_IDs	cell_types
VFB_00100159	['10167078']	['larval antennal lobe multiglomerular projection neuron B1', 'neuron']
VFB_00100152	['8704079']	['neuron', 'larval antennal lobe multiglomerular projection neuron B3']
VFB_00100153	['8877795']	['larval antennal lobe ventral local neuron', 'neuron']
VFB_00100154	['8877971']	['larval antennal lobe picky 2 local neuron', 'neuron']
VFB_00100155	['9119558']	['larval antennal lobe multiglomerular projection neuron VUM', 'neuron']
VFB_00100123	['7941652']	['neuron', 'larval antennal lobe broad duet local neuron']
VFB_00100124	['8102935']	['larval antennal lobe picky 1 local neuron', 'neuron']
VFB_00100125	['8140109']	['neuron', 'larval uniglomerular projection neuron 74a']
VFB_00100126	['8198238']	['larval antennal lobe broad trio local neuron', 'neuron']
VFB_00100120	['7939890']	['larval antennal lobe broad trio local neuron', 'neuron']
VFB_00100121	['7939979']	['neuron', 'larval antennal lobe broad trio local neuron']
VFB_00100122	['7941642']	['neuron', 'larval antennal lobe broad duet local neuron']
VFB_00100127	['8198317']	['neuron', 'larval antennal lobe broad trio local neuron']
VFB_00100128	['8198416']	['larval antennal lobe broad duet local neuron', 'neuron']
VFB_00100129	['8198513']	['neuron', 'larval antennal lobe broad duet local neuron']
VFB_00100134	['8244823']	['neuron', 'larval uniglomerular projection neuron 13a']
VFB_00100135	['8245014']	['neuron', 'larval uniglomerular projection neuron 59a']
VFB_00100136	['8245146']	['larval uniglomerular projection neuron 82a', 'neuron']
VFB_00100137	['8245513']	['neuron', 'larval uniglomerular projection neuron 63a']
VFB_00100130	['8199671']	['larval antennal lobe picky 0 local neuron', 'neuron']
VFB_00100131	['8231264']	['neuron', 'larval antennal lobe choosy local neuron']
VFB_00100132	['8243455']	['neuron', 'larval uniglomerular projection neuron 83a']
VFB_00100133	['8244723']	['larval uniglomerular projection neuron 42a', 'neuron']
VFB_00100138	['8245692']	['neuron', 'larval uniglomerular projection neuron 42b']
VFB_00100139	['8245869']	['neuron', 'larval uniglomerular projection neuron 24a']
VFB_00100101	['6557581']	['larval antennal lobe broad trio local neuron', 'neuron']
VFB_00100102	['8399890']	['neuron', 'larval uniglomerular projection neuron 94b']
VFB_00100103	['7515491']	['larval uniglomerular projection neuron 49a', 'neuron']
VFB_00100104	['7092417']	['larval uniglomerular projection neuron 33b/47a', 'neuron']
VFB_00100100	['7394271']	['neuron', 'larval antennal lobe choosy local neuron']
VFB_00100109	['7852250']	['neuron', 'larval uniglomerular projection neuron 45a']
VFB_00100105	['7107433']	['neuron', 'larval uniglomerular projection neuron 45b']
VFB_00100106	['7198338']	['larval uniglomerular projection neuron 24a', 'neuron']
VFB_00100107	['7503199']	['larval antennal lobe multiglomerular projection neuron C1', 'neuron']
VFB_00100108	['7600311']	['larval antennal lobe picky 1 local neuron', 'neuron']
VFB_00100112	['7864823']	['larval uniglomerular projection neuron 59a', 'neuron']
VFB_00100113	['7865652']	['neuron', 'larval uniglomerular projection neuron 22c']
VFB_00100114	['7865696']	['larval uniglomerular projection neuron 1a', 'neuron']
VFB_00100115	['7865767']	['neuron', 'larval uniglomerular projection neuron 83a']
VFB_00100110	['7845346']	['larval uniglomerular projection neuron 63a', 'neuron']
VFB_00100111	['7851153']	['larval uniglomerular projection neuron 82a', 'neuron']
VFB_00100116	['7873135']	['larval uniglomerular projection neuron 42b', 'neuron']
VFB_00100117	['7916593']	['neuron', 'larval uniglomerular projection neuron 30a']
VFB_00100118	['7934904']	['neuron', 'larval uniglomerular projection neuron 35a']
VFB_00100119	['7935088']	['neuron', 'larval uniglomerular projection neuron 35a']
VFB_0010028h	['16972043']	['neuron', 'larval mushroom body feedforward neuron 36']
VFB_0010028i	['16978882']	['neuron', 'larval mushroom body feedforward neuron 15']
VFB_0010028j	['16987409']	['neuron', 'larval mushroom body feed across neuron 9']
VFB_0010028k	['17015609']	['larval mushroom body feedforward neuron 38', 'neuron']
VFB_0010028d	['16848475']	['larval mushroom body second order output neuron', 'neuron']
VFB_0010028e	['16848497']	['neuron', 'larval mushroom body feedforward neuron 33']
VFB_0010028f	['16856539']	['neuron', 'larval mushroom body one-step feedback neuron 22']
VFB_0010028g	['16933362']	['neuron', 'larval mushroom body feedforward neuron 41']
VFB_0010028p	['17176781']	['embryonic/larval neuron', 'neuron']
VFB_0010028q	['17176808']	['larval mushroom body feedforward neuron 6', 'neuron']
VFB_0010028r	['17176819']	['larval mushroom body feedforward neuron 6', 'neuron']
VFB_0010028s	['17176866']	['neuron', 'larval mushroom body feedforward neuron 12']
VFB_0010028l	['17107661']	['larval mushroom body feedforward neuron 32', 'neuron']
VFB_0010028m	['17150791']	['neuron', 'larval mushroom body feed across neuron 2']
VFB_0010028n	['17165711']	['neuron', 'larval mushroom body feed across neuron 11']
VFB_0010028o	['17176767']	['embryonic/larval neuron', 'neuron']
VFB_0010028x	['17280216']	['embryonic/larval neuron', 'neuron']
VFB_0010028y	['17300165']	['larval mushroom body feed across neuron 5', 'neuron']
VFB_0010028z	['17435678']	['larval mushroom body feedforward neuron 35', 'neuron']
VFB_0010028t	['17176882']	['larval mushroom body feedforward neuron 12', 'neuron']
VFB_0010028u	['17177005']	['larval mushroom body second order output neuron', 'neuron']
VFB_0010028v	['17177103']	['neuron', 'larval mushroom body feedforward neuron 22']
VFB_0010028w	['17177115']	['neuron', 'larval mushroom body feedforward neuron 22']
VFB_0010029a	['17437719']	['neuron', 'larval mushroom body one-step feedback neuron 18']
VFB_0010029b	['17784367']	['larval mushroom body second order output neuron', 'neuron']
VFB_0010029c	['17847543']	['neuron', 'larval mushroom body feedforward neuron 31']
VFB_0010029d	['17854345']	['neuron', 'larval mushroom body one-step feedback neuron 26']
VFB_0010029i	['19091931']	['larval mushroom body feedforward neuron 16', 'neuron']
VFB_0010029j	['19271710']	['neuron', 'larval mushroom body second order output neuron']
VFB_0010029k	['19857573']	['neuron', 'larval mushroom body feedforward neuron 11']
VFB_0010029l	['20443457']	['embryonic/larval neuron', 'neuron']
VFB_0010029e	['17980792']	['larval mushroom body second order output neuron', 'neuron']
VFB_0010029f	['18035864']	['larval mushroom body second order output neuron', 'neuron']
VFB_0010029g	['18084995']	['neuron', 'embryonic/larval neuron']
VFB_0010029h	['18098174']	['neuron', 'larval mushroom body feedforward neuron 23']
VFB_0010026f	['12122924']	['larval mushroom body one-step feedback neuron 28', 'neuron']
VFB_0010026g	['12199095']	['neuron', 'larval mushroom body feedforward neuron 35']
VFB_0010026h	['12233237']	['neuron', 'larval mushroom body second order output neuron']
VFB_0010026i	['12262910']	['neuron', 'larval mushroom body feed across neuron 6']
VFB_0010026b	['11528017']	['larval mushroom body second order output neuron', 'neuron']
VFB_0010026c	['11637003']	['neuron', 'larval mushroom body feedforward neuron 4']
VFB_0010026d	['11889676']	['larval mushroom body one-step feedback neuron 8', 'neuron']
VFB_0010026e	['11909406']	['larval mushroom body one-step feedback neuron 12', 'neuron']
VFB_0010026n	['12479019']	['larval mushroom body feedforward neuron 17', 'neuron']
VFB_00100280	['7828725']	['Kenyon cell', 'neuron']
VFB_0010026o	['12670738']	['larval mushroom body feedforward neuron 31', 'neuron']
VFB_00100281	['7868195']	['Kenyon cell', 'neuron']
VFB_0010026p	['12704069']	['neuron', 'larval mushroom body one-step feedback neuron 4']
VFB_00100282	['8247315']	['immature Kenyon cell', 'neuron']
VFB_0010026q	['12832017']	['larval mushroom body feedforward neuron 16', 'neuron']
VFB_00100283	['8248706']	['neuron', 'Kenyon cell']
VFB_0010026j	['12325227']	['neuron', 'larval mushroom body feedforward neuron 29']
VFB_0010026k	['12356747']	['larval mushroom body feedforward neuron 11', 'neuron']
VFB_0010026l	['12389097']	['neuron', 'larval mushroom body feedforward neuron 10']
VFB_0010026m	['12398622']	['embryonic/larval neuron', 'neuron']
