VFB_ID	external_ID	cell_types
VFB_fw106290	flywire_fafb:720575940620162901	['transmedullary neuron Tm29']
VFB_fw106291	flywire_fafb:720575940645643118	['adult GABAergic neuron', 'lamina monopolar neuron L1']
VFB_fw106292	flywire_fafb:720575940617411387	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106293	flywire_fafb:720575940614695934	['transmedullary neuron Tm12']
VFB_fw106294	flywire_fafb:720575940639909283	['transmedullary neuron Tm5c']
VFB_fw106295	flywire_fafb:720575940607478706	['transmedullary neuron Tm12']
VFB_fw106296	flywire_fafb:720575940626635778	['adult cholinergic neuron', 'transmedullary neuron Tm5Y']
VFB_fw106297	flywire_fafb:720575940616992012	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106298	flywire_fafb:720575940619757016	['columnar neuron T1']
VFB_fw106299	flywire_fafb:720575940621554864	['adult cholinergic neuron', 'lamina monopolar neuron L3']
VFB_fw106278	flywire_fafb:720575940626377278	['adult central medulla intrinsic neuron Cm9', 'adult glutamatergic neuron']
VFB_fw106279	flywire_fafb:720575940626425700	['T2a neuron', 'adult cholinergic neuron']
VFB_fw106280	flywire_fafb:720575940622737908	['transmedullary neuron Tm34']
VFB_fw106281	flywire_fafb:720575940647992708	['medulla intrinsic neuron Mi1']
VFB_fw106282	flywire_fafb:720575940636187572	['transmedullary neuron Tm30']
VFB_fw106283	flywire_fafb:720575940625626092	['lamina monopolar neuron L2']
VFB_fw106284	flywire_fafb:720575940620922533	['lamina wide-field 1 neuron']
VFB_fw106285	flywire_fafb:720575940613558501	['lamina monopolar neuron L2']
VFB_fw106286	flywire_fafb:720575940626620772	['adult transmedullary Y neuron TmY21']
VFB_fw106287	flywire_fafb:720575940608337522	['lamina monopolar neuron L5']
VFB_fw106288	flywire_fafb:720575940629794819	['transmedullary neuron Tm5b']
VFB_fw106201	flywire_fafb:720575940620743046	['lamina monopolar neuron L2']
VFB_fw106202	flywire_fafb:720575940629716730	['transmedullary neuron Tm3']
VFB_fw106203	flywire_fafb:720575940618324061	['medulla intrinsic neuron Mi4']
VFB_fw106204	flywire_fafb:720575940618232861	['centrifugal neuron C3']
VFB_fw106205	flywire_fafb:720575940619968830	['adult GABAergic neuron', 'medulla tangential intrinsic neuron 1']
VFB_fw106206	flywire_fafb:720575940652660470	['transmedullary neuron Tm30']
VFB_fw106207	flywire_fafb:720575940625967408	['T2a neuron', 'adult cholinergic neuron']
