VFB_ID	external_ID	cell_types
VFB_0010283t	512505	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010283s	512490	['adult sensory neuron']
VFB_0010283v	25084	['prothoracic femoral chordotonal club neuron']
VFB_0010283u	503	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_0010280e	511204	['prothoracic femoral chordotonal hook neuron']
VFB_0010280d	10535	['adult PNS neuron', 'adult mechanosensory neuron', 'mechanosensory neuron of hair plate']
VFB_0010280g	511232	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010280f	511217	['prothoracic femoral chordotonal claw neuron']
VFB_0010280a	511142	['prothoracic femoral chordotonal claw neuron']
VFB_0010280c	10530	['prothoracic femoral chordotonal claw neuron']
VFB_0010280b	289	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010280m	22842	['prothoracic femoral chordotonal club neuron']
VFB_0010280l	12602	['prothoracic femoral chordotonal club neuron']
VFB_0010280o	24893	['prothoracic femoral chordotonal hook neuron']
VFB_0010280n	511332	['prothoracic femoral chordotonal claw neuron']
VFB_0010280i	511263	['prothoracic femoral chordotonal hook neuron']
VFB_0010280h	511247	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010280k	511290	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010280j	24886	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010280u	326	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010280t	24900	['prothoracic femoral chordotonal hook neuron']
VFB_0010280w	22857	['prothoracic femoral chordotonal club neuron']
VFB_0010280v	511448	['adult PNS neuron', 'adult sensory neuron', 'sensory neuron of campaniform sensillum']
VFB_0010280q	511377	['prothoracic femoral chordotonal hook neuron']
VFB_0010280p	318	['adult sensory neuron']
VFB_0010280s	322	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
VFB_0010280r	10561	['prothoracic femoral chordotonal claw neuron']
VFB_0010280y	10571	['prothoracic femoral chordotonal claw neuron']
VFB_0010280x	330	['adult PNS neuron', 'adult sensory neuron', 'bristle sensory neuron']
