skid	name	paper_id	paper_name	annotations	synonyms	FBbt_ID
4905393	right PS126	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right PS126 (17698084), FBbt:20001881 (17698265)	Right PS126 4905394 ME	
4905399	Right S-Neuron#2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), Right S-Neuron#2 (17698048), FBbt:00049818 (17698261)	Right S-Neuron 4905400 ME	
4906098	Right S-Neuron#3	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), Right S-Neuron#3 (17698050), FBbt:00049818 (17698261)	Right S-Neuron 4906099 ME	
5207414	right lVLPT8#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right lVLPT8#1 (17697936)	neuron 5207415 ME	
5218080	putative right CNMNx	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), putative right CNMNx (17698002)	Putative CNMN 5218081 ME	
5224929	right DNp15	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right DNp15 (17698018), FBbt:00047648 (17698253)	Right DNp15 5224930 ME	
5232902	left H2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left H2 (17698090), FBbt:00052267 (17692128)	H2 neuron (left) 5232903 ME	
6395462	right PS234	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right PS234 (17698044), FBbt:20001989 (17698259)	neuron 6395463 ME	
7828866	right PLP195#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right PLP195#1 (17698040), FBbt:20001695 (17698255)	neuron 7828867 BG	
8178073	right H2rn#1	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right H2rn#1 (17698022)	Right H2rn 8178074 ME	
8438889	right H2rn#2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right H2rn#2 (17698024)	Right H2rn 8438890 ME	
9150745	left H2rn#2	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left H2rn#2 (17698026)	Left H2rn 9150746 ME	
9152886	left H2rn#3	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left H2rn#3 (17698028)	Left H2rn 9152887 ME	
9157627	left bLPTCrn#3	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left bLPTCrn#3 (17697946), FBbt:20001833 (17698203)	Left bLPTCrn 9157628 ME	
9157788	left uLPTCrn#6	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left uLPTCrn#6 (17698078)	Left uLPTCrn 9157789 ME	
9305966	left bLPTCrn#4	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left bLPTCrn#4 (17697948), FBbt:20001833 (17698203)	Left bLPTCrn 9305967 ME	
9323967	left uLPTCrn#7	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left uLPTCrn#7 (17698080)	Left uLPTCrn 9323968 ME	
9336218	right cLPTCrn#10	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right cLPTCrn#10 (17697998), FBbt:20001834 (17698215)	Putative Right cLPTCrn 9336219 ME	
9342548	right uLPTCrn#7	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right uLPTCrn#7 (17698064)	Putative Right uLPTCrn 9342549 ME	
9369684	left bLPTCrn#5	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), left bLPTCrn#5 (17697950), FBbt:20001833 (17698203)	Left bLPTCrn 9369685 ME	
9730353	right H2rn#3	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right H2rn#3 (17698030)	Right H2rn 9730354 ME	
9857696	right DNb06	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right DNb06 (17698010), FBbt:00047587 (17698245)	Right DNb06 9857697 ME	
9937341	right DNp20	17697839	Paper: Erginkaya et al 2025	Paper: Erginkaya et al 2023 (17697276), Paper: Erginkaya et al 2025 (17697839), right DNp20 (17698016), FBbt:00047653 (17698251)	Right DNOVS1 9937342 ME	
