Individual_id	Individual_label	External_id	FBbt_ids	FBbt_labels
VFB_jrchk2dv	ORN_VA7m (FlyEM-HB:2044786356)	2044786356	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk7zn	WEDPN8D_R (FlyEM-HB:1040609541)	1040609541	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchk2e0	ORN_VA7m (FlyEM-HB:2137856225)	2137856225	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk7zf	WEDPN8C_R (FlyEM-HB:947858407)	947858407	['FBbt_00049664', 'FBbt_00050242']	['adult wedge projection neuron 8', 'adult DALd lineage neuron']
VFB_jrchk2e8	ORN_VA7m (FlyEM-HB:2169578035)	2169578035	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk2dg	ORN_VA7m (FlyEM-HB:2013751862)	2013751862	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk2e3	ORN_VA7m (FlyEM-HB:2138197442)	2138197442	['FBbt_00048139', 'FBbt_00007386']	['adult sensory neuron VA7m', 'adult olfactory receptor neuron']
VFB_jrchk82q	aSP-g1_R (FlyEM-HB:949534412)	949534412	['FBbt_00049330', 'FBbt_00110461']	['adult fruitless aSP-g1 neuron', 'adult fruitless aSP-g (female) neuron']
VFB_jrchk0wa	M_lPNm11A_R (FlyEM-HB:819993149)	819993149	['FBbt_00049725', 'FBbt_00049778']	['adult antennal lobe projection neuron VP4++ lPN', 'adult multiglomerular antennal lobe projection neuron lPN']
VFB_jrchk7al	TRN_VP3_R (FlyEM-HB:2100670439)	2100670439	['FBbt_00047095', 'FBbt_00005918']	['adult neuron', 'thermosensory neuron']
VFB_jrchk7yc	WEDPN1A_b_R (FlyEM-HB:1069223047)	1069223047	['FBbt_00049454', 'FBbt_00050017']	['adult wedge projection neuron 1', 'adult BAlp3 lineage neuron']
VFB_jrchk7yh	WEDPN2A_R (FlyEM-HB:915451074)	915451074	['FBbt_00049455', 'FBbt_00050017']	['adult wedge projection neuron 2', 'adult BAlp3 lineage neuron']
VFB_jrchk7yn	WEDPN4_R (FlyEM-HB:5813032740)	5813032740	['FBbt_00049457', 'FBbt_00050017']	['adult wedge projection neuron 4', 'adult BAlp3 lineage neuron']
