FBbt_ID	FBbt_label	times_added	times_removed
FBbt_00003768	distal medullary amacrine neuron Dm1	39	0
FBbt_00100388	adult antennal lobe projection neuron DL2v adPN	37	0
FBbt_00050197	adult ALv1 lineage neuron	37	0
FBbt_00111761	lobula columnar neuron LC26	37	0
FBbt_20007262	proximal medullary amacrine neuron Pm10	37	0
FBbt_20007269	medulla intrinsic neuron Mi18	36	0
FBbt_20007611	adult medulla tangential neuron e02	36	0
FBbt_00110066	proximal medullary amacrine neuron Pm3	36	73
FBbt_20005420	adult medulla visual projection neuron MeVP3	35	0
FBbt_20007240	adult central medulla neuron Cm12	35	0
FBbt_00111757	lobula columnar neuron LC22	35	0
FBbt_00050067	adult VLPl&p1 lineage neuron	34	0
FBbt_00050094	adult PSp3 lineage neuron	34	0
FBbt_00111288	lobula plate intrinsic neuron LPi4-3	33	58
FBbt_20007612	adult medulla visual projection neuron MeVP10	33	0
FBbt_00100369	adult multiglomerular antennal lobe projection neuron adPN	33	11
FBbt_00050159	adult VLPa1 lineage neuron	32	0
FBbt_20007237	adult LOLP1 neuron	32	0
FBbt_20007288	adult lobula plate visual centrifugal neuron 01	32	0
FBbt_00050141	adult LHp2 lineage neuron	31	0
FBbt_00050076	adult VLPl&d1 lineage neuron	31	0
FBbt_00110423	adult fruitless aDT-e (female) neuron	30	0
FBbt_20007249	adult MeLo10 neuron	30	0
FBbt_00048922	NB1-1 lineage neuron	30	0
FBbt_00053177	adult dorsal prothoracic nerve neck motor neuron	30	0
FBbt_20007659	adult medulla visual projection neuron MeVP11	30	0
FBbt_00003773	distal medullary amacrine neuron Dm6	29	0
FBbt_00111274	distal medullary amacrine neuron Dm13	28	0
FBbt_00050233	adult VLPd1 lineage neuron	28	0
FBbt_00111760	lobula columnar neuron LC25	27	0
FBbt_00100224	lateral antennal lobe tract projection neuron	27	0
FBbt_00111279	distal medullary amacrine neuron Dm18	27	0
FBbt_00050200	adult VLPp1 lineage neuron	27	0
FBbt_00050061	adult DM5 lineage neuron	27	0
FBbt_20007268	adult Cm13 neuron	27	0
FBbt_00048864	MNB lineage primary neuron	27	0
FBbt_00050046	adult SLPpm1 lineage neuron	27	0
FBbt_00048942	NB6-1 lineage neuron	27	0
FBbt_00050014	adult VPNl&d1 lineage neuron	27	0
FBbt_00051310	NB7-1 Notch OFF hemilineage primary neuron	26	0
FBbt_00051466	hemilineage 11A secondary neuron	26	0
FBbt_00048913	lineage 5 secondary neuron	26	0
FBbt_00049483	distal medullary amacrine neuron Dm-DRA1	26	0
FBbt_00011534	lineage NB1-1 primary motor neuron	26	0
FBbt_20007682	adult medulla tangential neuron e01b	25	0
FBbt_00051468	hemilineage 8B secondary neuron	25	0
FBbt_00050177	adult SLPal5 lineage neuron	24	0
FBbt_20007555	adult lobula columnar neuron e03	24	0
FBbt_00003907	lobula plate tangential neuron	24	2
FBbt_00050165	adult PSp2 lineage neuron	23	0
FBbt_20007252	adult Li18a neuron	23	0
FBbt_20007239	adult MeLo8 neuron	23	0
FBbt_00051248	lobula columnar neuron LC27	23	0
FBbt_00047106	Notch ON hemilineage primary neuron	22	0
FBbt_00048943	NB6-2 lineage neuron	22	0
FBbt_00047319	adult serotonergic SE neuron	22	0
FBbt_20007230	adult Li20 neuron	21	0
FBbt_00110435	adult fruitless aIP-c (female) neuron	21	0
FBbt_20007613	adult medulla tangential neuron e04	21	0
FBbt_20007244	adult Li15 neuron	21	0
FBbt_20007265	proximal medullary amacrine neuron Pm7	20	0
