skid	name	paper_id	paper_name	fbbt_id	FBbt_ID
57254	adPN polyL 57255 NS	11490509	Paper: Zheng et al 2018	FBbt:00007441	
57266	adPN polyL 57267 ML	11490509	Paper: Zheng et al 2018	FBbt:00007441	
57274	mALT mPN putative DP1l glomerulus and glomerulus VL2p 57275 LK	11490509	Paper: Zheng et al 2018	FBbt:00007441	
57307	PN glomerulus DM6 57308 ML	11490509	Paper: Zheng et al 2018	FBbt:00067360	
57311	PN glomerulus DA1 57312 LK	11490509	Paper: Zheng et al 2018	FBbt:00067363	
57319	PN glomerulus VA3 57320 IJA	11490509	Paper: Zheng et al 2018	FBbt:00067356	
57323	PN glomerulus DA1 57324 LK JSL	11490509	Paper: Zheng et al 2018	FBbt:00067363	
57333	PN glomerulus DL2d 57334 IJA	11490509	Paper: Zheng et al 2018	FBbt:00100389	
57337	PN glomerulus DL2d 57338 IJA	11490509	Paper: Zheng et al 2018	FBbt:00100389	
57341	PN glomerulus DL2d 57342 ML	11490509	Paper: Zheng et al 2018	FBbt:00100389	
57349	PN glomerulus DA3 57350 HG	11490509	Paper: Zheng et al 2018	FBbt:00100384	
57353	PN glomerulus DA1 57354 GA	11490509	Paper: Zheng et al 2018	FBbt:00067363	
57361	PN glomerulus VA5 57362 ML	11490509	Paper: Zheng et al 2018	FBbt:00067366	
57365	PN glomerulus VA5 57366 NS	11490509	Paper: Zheng et al 2018	FBbt:00067366	
57381	PN glomerulus DA1 57382 ML	11490509	Paper: Zheng et al 2018	FBbt:00067363	
57385	PN glomerulus DM5 57386 HG	11490509	Paper: Zheng et al 2018	FBbt:00067367	
57402	PN glomerulus DC2 57403 SM	11490509	Paper: Zheng et al 2018	FBbt:00067354	
57410	PN glomerulus VA7l 57411 NS	11490509	Paper: Zheng et al 2018	FBbt:00007448	
57414	PN glomerulus DC3 57415 LK	11490509	Paper: Zheng et al 2018	FBbt:00040000	
57418	PN glomerulus DA2 57419 LK	11490509	Paper: Zheng et al 2018	FBbt:00110882	
57422	PN glomerulus DA2 57423 NS A	11490509	Paper: Zheng et al 2018	FBbt:00110882	
57426	Multiglomerular PN mALT 57427 NS	11490509	Paper: Zheng et al 2018	FBbt:00007441	
57471	VP5+ and SEZ PN mALT 57472 LK ECM	11490509	Paper: Zheng et al 2018		
57499	PN glomerulus VL1 57500 ML	11490509	Paper: Zheng et al 2018		
57503	Bilateral VP1m + VP5 PN mALT 57504 LK ECM	11490509	Paper: Zheng et al 2018	FBbt:00007441	
57516	VP2 PN mALT 57517 LK ECM	11490509	Paper: Zheng et al 2018		
58686	PN glomerulus DP1m 22768 BH ASB	11490509	Paper: Zheng et al 2018	FBbt:00067021	
59129	Multiglomerular PN mALT VM5v+X 59130 AJ	11490509	Paper: Zheng et al 2018	FBbt:00007441	
60445	putative MB-C1 32768 JMR	11490509	Paper: Zheng et al 2018	FBbt:00100226	
60799	PN glomerulus DM6 60800 JMR	11490509	Paper: Zheng et al 2018	FBbt:00067360	
61221	PN glomerulus DA1 61222 AJ	11490509	Paper: Zheng et al 2018	FBbt:00067363	
61773	PN glomerulus DL2v 61774 JMR	11490509	Paper: Zheng et al 2018	FBbt:00100388	
62434	PN glomerulus VM5d 62435 AJ	11490509	Paper: Zheng et al 2018	FBbt:00100385	
65465	PN glomerulus DA3 57407 ML	11490509	Paper: Zheng et al 2018	FBbt:00100384	
65762	PN glomerulus DC2 65763 AJ	11490509	Paper: Zheng et al 2018	FBbt:00067354	
67408	PN glomerulus DM2 67409 BH	11490509	Paper: Zheng et al 2018	FBbt:00067368	
67637	PN glomerulus DL2v 67638 BH	11490509	Paper: Zheng et al 2018	FBbt:00100368	
68697	PN glomerulus DM6 68698 BH	11490509	Paper: Zheng et al 2018	FBbt:00067360	
73937	PN glomerulus VL1 73938 LK	11490509	Paper: Zheng et al 2018		
165303	PN glomerulus VA3 34321 JMR	11490509	Paper: Zheng et al 2018	FBbt:00067356	
175032	KCa'B'ap 175033 AJ	11490509	Paper: Zheng et al 2018	FBbt:00100250	
186573	PN glomerulus VA7m 21764 AA	11490509	Paper: Zheng et al 2018	FBbt:00067365	
192423	VP1d dlALT PN 192424 CLM -NM	11490509	Paper: Zheng et al 2018	FBbt:00007440	
192547	PN glomerulus V bilateral 192548 EAM GSXEJ RJVR	11490509	Paper: Zheng et al 2018	FBbt:00003995	
203504	VP1d dlALT PN 71750 ARH-NM	11490509	Paper: Zheng et al 2018	FBbt:00007440	
203840	APL 203841 MR JSL	11490509	Paper: Zheng et al 2018	FBbt:00100222	
