source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
11470178	VFB_001029dv	L1#4 (FAFB:11470178)	['lamina monopolar neuron L1']	['monopolar laminar cell L1']	['L1']				['L1']
17368255	VFB_00102gif	TmY5a_R#17 (FAFB:17368255)	['transmedullary Y neuron TmY5a']	['TmY5a']	['TmY5a']				['TmY5a']
2851276	VFB_001011kz	LN #2 (FAFB:2851276)	['adult antennal lobe local neuron']						
3281665	VFB_001013u7	LC6#20 (FAFB:3281665)	['lobula columnar neuron LC6']		['LC6']		['LC6']		['LC6']
11673863	VFB_001011p5	DM1 ORN #2 (FAFB:11673863)	['adult olfactory receptor neuron Or42b']		['ORN_DM1']	['ORN_DM1']	['odorant receptor neuron DM1']		
1322907	VFB_0010141l	MBON-a'3m#1_R (FAFB:1322907)	['mushroom body output neuron 17']		['MBON17-like']	['MBON17']	['MBON17-like']		
11447430	VFB_001029c7	Mi9#3 (FAFB:11447430)	['medulla intrinsic neuron Mi9']		['Mi9']		['Mi9']		['Mi9']
10719424	VFB_00102ftp	T4b_R#139 (FAFB:10719424)	['T4b neuron']		['T4b']		['T4b']		['T4b']
10637662	VFB_0010018r	KC#1339-y (FAFB:10637662)	['adult gamma Kenyon cell']				['KCg']		
2319457	VFB_0010122k	Uniglomerular mALT DA1 lPN#L2 (FAFB:2319457)	['adult antennal lobe projection neuron DA1 lPN']		['DA1_lPN']	['DA1_lPN']	['DA1_lPN']		
12854	VFB_0010009o	KC#152-ab (FAFB:12854)	['alpha/beta surface/core Kenyon cell']						
14842645	VFB_00102g43	Mi1_R#300 (FAFB:14842645)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
9447968	VFB_001000ti	KC#892-y (FAFB:9447968)	['adult gamma Kenyon cell']				['KCg']		
5947064	VFB_001014fl	SEZON03#37 (FAFB:5947064)	['adult subesophageal zone output neuron']						
1853423	VFB_00101302	LHAV4a4#2 (FAFB:1853423)	['adult lateral horn AV4a4 neuron']		['LHAV4a4']	['LHAV4a4']	['LHAV4a4']		
1142316	VFB_0010120w	Multiglomerular mALT lvPN#R4 (FAFB:1142316)	['adult multiglomerular antennal lobe projection neuron type 25 lvPN']		['M_lvPNm25']	['M_lvPNm25']	['M_lvPNm25']		
1710793	VFB_00101300	LHPV4a1#3 (FAFB:1710793)	['adult lateral horn PV4a1 neuron']	['LHPV4a1']	['LHPV4a1']	['LHPV4a1']			
7179380	VFB_001011mu	DM1 ORN #11 (FAFB:7179380)	['adult olfactory receptor neuron Or42b']		['ORN_DM1']	['ORN_DM1']	['odorant receptor neuron DM1']		
8456586	VFB_001000ok	KC#718 (FAFB:8456586)	['adult Kenyon cell']				['KC']		
8750841	VFB_001011ok	DM5 ORN #17 (FAFB:8750841)	['adult olfactory receptor neuron Or85a']		['ORN_DM5']	['ORN_DM5']			
7349870	VFB_001011nb	DA2 ORN #15 (FAFB:7349870)	['adult olfactory receptor neuron Or56a']	['adult olfactory receptor neuron DA2']	['ORN_DA2']	['ORN_DA2']			
13098	VFB_0010009s	KC#158-ab (FAFB:13098)	['alpha/beta surface/core Kenyon cell']						
2477473	VFB_0010123n	aSP-g1b#1 (FAFB:2477473)	['adult fruitless aSP-g2 (female) neuron']	['aSP-g2']	['aSP-g2']	['aSP-g2']			
12897917	VFB_00102fxn	Mi1_R#90 (FAFB:12897917)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
3162746	VFB_001013tw	LC6#12 (FAFB:3162746)	['lobula columnar neuron LC6']		['LC6']		['LC6']		['LC6']
11071922	VFB_001001dk	KC#1501-ab (FAFB:11071922)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
9589676	VFB_0010129f	Uniglomerular mALT VC4 adPN#L2 (FAFB:9589676)	['adult antennal lobe projection neuron VC4 adPN']		['VC4_adPN']	['VC4_adPN']			
3794183	VFB_001013vp	pC1c (FAFB:3794183)	['adult doublesex pC1c (female) neuron']	['pC1c']	['pC1c']	['pC1c']			
1299700	VFB_00101277	LHPD2a1#1 (FAFB:1299700)	['adult lateral horn PD2a1 neuron']			['LHPD2a1']	['adult PD2a1 neuron']		
15217286	VFB_00102gec	Mi1_R#669 (FAFB:15217286)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
1549518	VFB_00101146	contralateral MB-CP2 1549519 SAC (FAFB:1549518)	['mushroom body calyx-pedunculus arborizing neuron 2']	['LHPV3c1']	['LHPV3c1']	['LHPV3c1']			['LHPV3c1']
9830987	VFB_001000xa	KC#1024-ab (FAFB:9830987)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
5111160	VFB_001011lv	LN #6 (FAFB:5111160)	['adult antennal lobe local neuron']						
11408175	VFB_001014mx	SEZON03#10 (FAFB:11408175)	['adult subesophageal zone output neuron']						
6423281	VFB_001014hq	SEZ_DAN_input_c 8.4.0 (FAFB:6423281)	['adult subesophageal zone output neuron']						
17194	VFB_001000cc	KC#246-y (FAFB:17194)	['adult gamma Kenyon cell']				['KCg']		
11412142	VFB_00102fvj	T4a_R#31 (FAFB:11412142)	['T4a neuron']		['T4a']		['T neuron T4a']		['T4a']
15177826	VFB_00102gda	Mi1_R#631 (FAFB:15177826)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
3933006	VFB_0010125u	WEDPN3#2 (FAFB:3933006)	['adult wedge projection neuron 3']	['adult WED-PN3 lateral horn input neuron']	['WEDPN3']	['WEDPN3']			
9836579	VFB_001000xb	KC#1025-ab (FAFB:9836579)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
982897	VFB_00102gz4	right VS1 (FAFB:982897)	['vertical system neuron 1']	['LPT05']	['VS1']				
4291899	VFB_00101381	MBON-B'2mp_R (FAFB:4291899)	['mushroom body output neuron 3']	['mushroom body medial lobe arborizing neuron 4']	['MBON03']	['MBON03']			
4624374	VFB_0010127a	Uniglomerular mlALT VM2 vPN#R3 (FAFB:4624374)	['adult antennal lobe projection neuron VM2 vPN']						
14833355	VFB_00102g3o	Mi1_R#285 (FAFB:14833355)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
14838161	VFB_00102g3v	Mi1_R#292 (FAFB:14838161)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
9584821	VFB_001011vu	VP2RNl#2 (FAFB:9584821)	['aristal sensory neuron VP2']		['TRN_VP2']	['TRN_VP2']	['aristal neuron (VP2)']		
9797930	VFB_001000x0	KC#1014-y (FAFB:9797930)	['adult gamma Kenyon cell']				['KCg']		
6666977	VFB_00102fow	T4b_R#29 (FAFB:6666977)	['T4b neuron']		['T4b']		['T4b']		['T4b']
11538	VFB_0010008d	KC#115-y (FAFB:11538)	['adult gamma Kenyon cell']				['KCg']		
2374382	VFB_0010122x	Uniglomerular mALT DA4m adPN#L1 (FAFB:2374382)	['adult antennal lobe projection neuron DA4m adPN']	['DA4m_adPN']	['DA4m_adPN']	['DA4m_adPN']			
17429364	VFB_00102gjh	TmY5a_R#55 (FAFB:17429364)	['transmedullary Y neuron TmY5a']	['TmY5a']	['TmY5a']				['TmY5a']
8772553	VFB_00102frt	Mi1_R#13 (FAFB:8772553)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
4068885	VFB_001000l4	KC#617-y (FAFB:4068885)	['adult gamma Kenyon cell']				['KCg']		
7179613	VFB_001011my	DM1 ORN #15 (FAFB:7179613)	['adult olfactory receptor neuron Or42b']		['ORN_DM1']	['ORN_DM1']	['odorant receptor neuron DM1']		
14893951	VFB_00102g75	Mi1_R#410 (FAFB:14893951)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
15202535	VFB_00102ge5	Mi1_R#662 (FAFB:15202535)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
175027	VFB_001011qx	KCa'b'-ap1_R#11 (FAFB:175027)	"[""alpha'/beta' anterior-posterior Kenyon cell""]"						
15530	VFB_001000bh	KC#215-y (FAFB:15530)	['adult gamma Kenyon cell']				['KCg']		
13896103	VFB_00102g1d	Mi1_R#204 (FAFB:13896103)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
2348022	VFB_0010122q	Uniglomerular mALT VA7m lPN#L3 (FAFB:2348022)	['adult antennal lobe projection neuron VA7m lPN']		['VA7m_lPN']	['VA7m_lPN']			
9533778	VFB_001000uf	KC#428-y (FAFB:9533778)	['adult gamma Kenyon cell']				['KCg']		
12798240	VFB_001012ai	Uniglomerular mALT VA1v adPN#L2 (FAFB:12798240)	['adult antennal lobe projection neuron VA1v adPN']		['VA1v_adPN']	['VA1v_adPN']			
16865609	VFB_00102ggu	T4d_R#101 (FAFB:16865609)	['T4d neuron']		['T4d']		['T4d']		['T4d']
37250	VFB_00101136	Uniglomerular mALT DA4m adPN#R1 (FAFB:37250)	['adult antennal lobe projection neuron DA4m adPN']	['DA4m_adPN']	['DA4m_adPN']	['DA4m_adPN']			
10179697	VFB_0010011c	KC#1146-ab (FAFB:10179697)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
1325592	VFB_00102gvi	LC4_R#43 (FAFB:1325592)	['lobula columnar neuron LC4']		['LC4']	['LC4']	['LC4']		['LC4']
12790425	VFB_001012ag	Uniglomerular mALT DM6 adPN#L3 (FAFB:12790425)	['adult antennal lobe projection neuron DM6 adPN']		['DM6_adPN']	['DM6_adPN']			
9271871	VFB_001000s9	KC#848-y (FAFB:9271871)	['adult gamma Kenyon cell']				['KCg']		
15298858	VFB_00102gf4	Mi1_R#697 (FAFB:15298858)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
12234527	VFB_001011wv	VP1dRNr#8 (FAFB:12234527)	['adult hygrosensory neuron Ir40a VP1d']		['HRN_VP1d']	['HRN_VP1d']	['adult olfactory receptor neuron Ir40a VP1']		
13899115	VFB_00102g1e	Mi1_R#205 (FAFB:13899115)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
15136751	VFB_00102gbu	Mi1_R#579 (FAFB:15136751)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
13975332	VFB_00102g1i	Mi1_R#208 (FAFB:13975332)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
734	VFB_001011yh	Uniglomerular mALT DM1 lPN#L1 (FAFB:734)	['adult antennal lobe projection neuron DM1 lPN']	['DM1 lPN']	['DM1_lPN']	['DM1_lPN']			
15452337	VFB_00102gg5	Mi1_R#734 (FAFB:15452337)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
11098600	VFB_001013z4	JO-CM#3 (FAFB:11098600)	['Johnston organ neuron CM']		['JO-CM']				
182684	VFB_001011qy	Multiglomerular mALT lPN#R1 (FAFB:182684)	['adult antennal lobe projection neuron VP1d++ lPN 1']		['M_lPNm11D']	['M_lPNm11D']	['M_lPNm11D']		
7014054	VFB_001012c0	R4d#5 (FAFB:7014054)	['adult ellipsoid body ring neuron R4d']		['ER4d']		['ER4d']		
15214	VFB_001000b9	KC#207-y (FAFB:15214)	['adult gamma Kenyon cell']				['KCg']		
534594	VFB_001000ix	KC#555-y (FAFB:534594)	['gamma main Kenyon cell']		['KCg-m']	['KCg-m']	['KCg-s3']		
9144496	VFB_001000rb	KC#815-y (FAFB:9144496)	['adult gamma Kenyon cell']				['KCg']		
12190	VFB_0010008u	KC#133-y (FAFB:12190)	['adult gamma Kenyon cell']				['KCg']		
10910267	VFB_001001at	KC#1402-y (FAFB:10910267)	['adult gamma Kenyon cell']				['KCg']		
11993030	VFB_001029fl	MeTu_DRA#14 (FAFB:11993030)	['adult medulla-tubercle neuron of dorsal rim area']						
3503851	VFB_0010149i	MBON-y4y5b_L (FAFB:3503851)	['mushroom body output neuron 29']		['MBON29']	['MBON29']	['MBON-29']		
15115375	VFB_00102gbb	Mi1_R#560 (FAFB:15115375)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
5738037	VFB_001014ev	PAM-y5#7_L (FAFB:5738037)	['dopaminergic PAM neuron 1']	['PAM01']	['PAM01']	['PAM01_b']			
10988802	VFB_001001ca	KC#1455-ab (FAFB:10988802)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
9165878	VFB_00102dwd	G2N-SLP4_L (FAFB:9165878)	['adult superior lateral protocerebrum neuron 235']		['SLP235']		['SLP235']		
13663699	VFB_00102fzq	Mi1_R#154 (FAFB:13663699)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
15984100	VFB_001029hl	VPN_DRA#10 (FAFB:15984100)	['medulla dorsal rim area-posterior lateral protocerebrum neuron']						
5111043	VFB_001011lu	LN #5 (FAFB:5111043)	['adult antennal lobe local neuron']						
872672	VFB_00102guo	LC4_R#13 (FAFB:872672)	['lobula columnar neuron LC4']		['LC4']	['LC4']	['LC4']		['LC4']
2333233	VFB_001000jt	KC#579-ab (FAFB:2333233)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
13587125	VFB_001013zy	JO-EVP#2 (FAFB:13587125)	['Johnston organ neuron EVP']		['JO-EVP']				
15188495	VFB_00102gdj	Mi1_R#640 (FAFB:15188495)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
11161904	VFB_001011p2	DM1 ORN #1 (FAFB:11161904)	['adult olfactory receptor neuron Or42b']		['ORN_DM1']	['ORN_DM1']	['odorant receptor neuron DM1']		
17418287	VFB_00102gj8	TmY5a_R#46 (FAFB:17418287)	['transmedullary Y neuron TmY5a']	['TmY5a']	['TmY5a']				['TmY5a']
9594411	VFB_001000uz	KC#942-y (FAFB:9594411)	['adult gamma Kenyon cell']				['KCg']		
14305318	VFB_001029gv	Dm2#11 (FAFB:14305318)	['distal medullary amacrine neuron Dm2']		['Dm2']		['Dm2']		['Dm2']
3411072	VFB_001013vc	LC6#61 (FAFB:3411072)	['lobula columnar neuron LC6']		['LC6']		['LC6']		['LC6']
14906762	VFB_00102g7s	Mi1_R#433 (FAFB:14906762)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
1702624	VFB_0010121l	Uniglomerular mlALT VL2p vPN#R1 (FAFB:1702624)	['adult antennal lobe projection neuron VL2p vPN']		['VL2p_vPN']	['VL2p_vPN']			
11409058	VFB_00102fvi	T4d_R#87 (FAFB:11409058)	['T4d neuron']		['T4d']		['T4d']		['T4d']
3299079	VFB_001013uu	LC6#43 (FAFB:3299079)	['lobula columnar neuron LC6']		['LC6']		['LC6']		['LC6']
3808901	VFB_001011l9	DC1 ORN #7 (FAFB:3808901)	['adult olfactory receptor neuron Or19']		['ORN_DC1']	['ORN_DC1']	['odorant receptor neuron DC1']		
9759637	VFB_00102fsd	T4b_R#99 (FAFB:9759637)	['T4b neuron']		['T4b']		['T4b']		['T4b']
478790	VFB_001000g4	KC#504-y (FAFB:478790)	['adult gamma Kenyon cell']				['KCg']		
57311	VFB_00101200	Uniglomerular mALT DA1 lPN#R2 (FAFB:57311)	['adult antennal lobe projection neuron DA1 lPN']		['DA1_lPN']	['DA1_lPN']	['DA1_lPN']		
2425247	VFB_00101316	LHPV5a2#1 (FAFB:2425247)	['adult lateral horn PV5a2 neuron']			['LHPV5a2']	['adult PV5a2 neuron']		
3027230	VFB_001000k7	KC#588 (FAFB:3027230)	['adult Kenyon cell']				['KC']		
57410	VFB_00101164	Uniglomerular mALT VA7l adPN#R1 (FAFB:57410)	['adult antennal lobe projection neuron VA7l adPN']		['VA7l_adPN']	['VA7l_adPN']			
15161598	VFB_00102gcs	Mi1_R#613 (FAFB:15161598)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
9929089	VFB_001000yh	KC#1067-y (FAFB:9929089)	['adult gamma Kenyon cell']				['KCg']		
8957584	VFB_001000q7	KC#775-y (FAFB:8957584)	['adult gamma Kenyon cell']				['KCg']		
10465902	VFB_00102fsq	T4b_R#106 (FAFB:10465902)	['T4b neuron']		['T4b']		['T4b']		['T4b']
6969526	VFB_001014ig	PAM-b'2a#1_R (FAFB:6969526)	['dopaminergic PAM neuron 2']		['PAM02']	['PAM02']	['PAM02']		
15749047	VFB_001029hc	MeTu_DRA#5 (FAFB:15749047)	['adult medulla-tubercle neuron of dorsal rim area']						
12871841	VFB_00102fx6	Mi1_R#73 (FAFB:12871841)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
4467245	VFB_0010126i	Uniglomerular mALT VA1v adPN#L5 (FAFB:4467245)	['adult antennal lobe projection neuron VA1v adPN']		['VA1v_adPN']	['VA1v_adPN']			
10627823	VFB_0010018n	KC#1335-ab (FAFB:10627823)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
17368245	VFB_00102gid	TmY5a_R#15 (FAFB:17368245)	['transmedullary Y neuron TmY5a']	['TmY5a']	['TmY5a']				['TmY5a']
10001130	VFB_001000z1	KC#1086-y (FAFB:10001130)	['adult gamma Kenyon cell']				['KCg']		
424463	VFB_001000fl	KC#320-ab (FAFB:424463)	['alpha/beta core Kenyon cell']			['KCab-c']			
7053684	VFB_001000me	KC#658-ab (FAFB:7053684)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
8936856	VFB_001000q0	KC#768-ab (FAFB:8936856)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
16274	VFB_001000br	KCa'b'-ap1_R#10 (FAFB:16274)	"[""alpha'/beta' anterior-posterior Kenyon cell""]"						
14803382	VFB_00102g33	Mi1_R#264 (FAFB:14803382)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
424433	VFB_001000fg	KC#316-ab (FAFB:424433)	['alpha/beta surface/core Kenyon cell']						
10971698	VFB_001029bv	Dm8#13 (FAFB:10971698)	['distal medullary amacrine neuron Dm8a']	['Dm8a']	['Dm8']				
39139	VFB_00101242	Uniglomerular mALT VM5d adPN#R1 (FAFB:39139)	['adult antennal lobe projection neuron VM5d adPN']	['VM5d adPN']	['VM5d_adPN']	['VM5d_adPN']			
8478498	VFB_001000os	KC#725-ab (FAFB:8478498)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
9000083	VFB_001000qk	KC#788-ab (FAFB:9000083)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
11450552	VFB_001029cp	Tm20#2 (FAFB:11450552)	['transmedullary neuron Tm20']		['Tm20']		['Tm20']		['Tm20']
8445852	VFB_001000oc	KC#710-ab (FAFB:8445852)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
15698953	VFB_001029hb	MeTu_DRA#15 (FAFB:15698953)	['adult medulla-tubercle neuron of dorsal rim area']						
14884001	VFB_00102g61	Mi1_R#370 (FAFB:14884001)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
8198124	VFB_001000mr	KC#408-a'b' (FAFB:8198124)	"[""alpha'/beta' anterior-posterior Kenyon cell""]"						
12862068	VFB_00102fx2	Mi1_R#69 (FAFB:12862068)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
4591408	VFB_001000lu	KC#641-y (FAFB:4591408)	['adult gamma Kenyon cell']				['KCg']		
10924278	VFB_001001b3	KC#1412-y (FAFB:10924278)	['adult gamma Kenyon cell']				['KCg']		
14951469	VFB_00102g9c	Mi1_R#489 (FAFB:14951469)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
10693063	VFB_0010019o	KC#1362-ab (FAFB:10693063)	['alpha/beta Kenyon cell']	['KCab']	['KCab']				
10562974	VFB_001029ba	Dm#6 (FAFB:10562974)	['distal medullary amacrine neuron']						
9658	VFB_0010006l	KC#71-y (FAFB:9658)	['adult gamma Kenyon cell']				['KCg']		
5445824	VFB_00102fnm	T4a_R#7 (FAFB:5445824)	['T4a neuron']		['T4a']		['T neuron T4a']		['T4a']
5043	VFB_001011yu	Uniglomerular mALT DP1m adPN#L1 (FAFB:5043)	['adult antennal lobe projection neuron DP1m adPN']	['DP1m_adPN']	['DP1m_adPN']	['DP1m_adPN']			
5643689	VFB_001011td	VP1d+VP1l vPN_L (FAFB:5643689)	['adult antennal lobe projection neuron VP1d+VP1l vPN']						
8540881	VFB_001011o0	SIMPAL-Left #1 (FAFB:8540881)	['adult SIMPAL neuron']						
3644717	VFB_001011l4	SMP Input Neuron #1 (FAFB:3644717)	['adult superior medial protocerebrum neuron 183']		['SMP183']	['SMP183']	['SMP183']		
14852106	VFB_00102g4o	Mi1_R#321 (FAFB:14852106)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
10088468	VFB_001000zt	KC#1113-y (FAFB:10088468)	['adult gamma Kenyon cell']				['KCg']		
10735078	VFB_001013xy	JO-FVA#15 (FAFB:10735078)	['Johnston organ neuron FVA']		['JO-FVA']				
1051519	VFB_00102gzb	right cLPTCrn#1 (FAFB:1051519)	['adult crab LPT cell recurrent neuron']	['cLPTCrn']		['PS079']			
5164684	VFB_001011m4	DC1 ORN #12 (FAFB:5164684)	['adult olfactory receptor neuron Or19']		['ORN_DC1']	['ORN_DC1']	['odorant receptor neuron DC1']		
9939473	VFB_001000yj	KC#1069-y (FAFB:9939473)	['adult gamma Kenyon cell']				['KCg']		
8361575	VFB_001000n6	KCgR#9 (FAFB:8361575)	['gamma main Kenyon cell']		['KCg-m']	['KCg-m']	['KCg-s3']		
3760683	VFB_0010003q	AMMC-B1-5 (FAFB:3760683)	['antennal mechanosensory and motor center B1 projection neuron']	['AMMC_B1']					
8404202	VFB_001011ns	LN #13 (FAFB:8404202)	['adult antennal lobe local neuron']						
14956323	VFB_00102g9m	Mi1_R#499 (FAFB:14956323)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
531931	VFB_0010120l	Uniglomerular mlALT VA1d vPN#R1 (FAFB:531931)	['adult antennal lobe projection neuron VA1d vPN']		['VA1d_vPN']	['VA1d_vPN']			
3297637	VFB_001013ur	LC6#40 (FAFB:3297637)	['lobula columnar neuron LC6']		['LC6']		['LC6']		['LC6']
10796504	VFB_001013y4	JO-FDA#7 (FAFB:10796504)	['Johnston organ neuron FDA']		['JO-FDA']				
10922200	VFB_00102ftx	Mi1_R#20 (FAFB:10922200)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
13806442	VFB_00102g0v	Mi1_R#188 (FAFB:13806442)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
7298505	VFB_001011n3	LNsez #1 (FAFB:7298505)	['antennal lobe local neuron 6']	['il3LN6']	['il3LN6']				
14956707	VFB_00102g9q	Mi1_R#503 (FAFB:14956707)	['medulla intrinsic neuron Mi1']	['Sut']	['Mi1']				['Mi1']
9866447	VFB_001000xm	KC#1036-y (FAFB:9866447)	['adult gamma Kenyon cell']				['KCg']		
