object	relation	subject_external_id	subject_external_db	pub
right side of organism	overlaps	17639784	catmaid_l1em	
bilateral	has_characteristic	17639784	catmaid_l1em	
right side of organism	overlaps	17671219	catmaid_l1em	
left side of organism	overlaps	17806341	catmaid_l1em	
right side of organism	overlaps	17806341	catmaid_l1em	
bilateral	has_characteristic	17806341	catmaid_l1em	
right side of organism	overlaps	17813006	catmaid_l1em	
bilateral	has_characteristic	17813006	catmaid_l1em	
left side of organism	overlaps	17813457	catmaid_l1em	
right side of organism	overlaps	17822238	catmaid_l1em	
bilateral	has_characteristic	17854345	catmaid_l1em	
right side of organism	overlaps	17867309	catmaid_l1em	
bilateral	has_characteristic	17867309	catmaid_l1em	
right side of organism	overlaps	18028397	catmaid_l1em	
bilateral	has_characteristic	18028397	catmaid_l1em	
left side of organism	overlaps	18062678	catmaid_l1em	
peripheral nervous system	overlaps	18062678	catmaid_l1em	
adult ventral nerve cord	overlaps	18062678	catmaid_l1em	
left side of organism	overlaps	18500988	catmaid_l1em	
right side of organism	overlaps	18500988	catmaid_l1em	
left side of organism	overlaps	18648531	catmaid_l1em	
right side of organism	overlaps	18648531	catmaid_l1em	
right side of organism	overlaps	19156025	catmaid_l1em	
left side of organism	overlaps	19175973	catmaid_l1em	
bilateral	has_characteristic	19175973	catmaid_l1em	
right side of organism	overlaps	19786464	catmaid_l1em	
bilateral	has_characteristic	19786464	catmaid_l1em	
