filename	label	is_a	part_of	dbxrefs	synonyms
8727095	DA2 ORN #26	neuron	female organism|adult brain	catmaid_fafb:8727095	8727095
8727184	DA2 ORN #27	neuron	female organism|adult brain	catmaid_fafb:8727184	8727184
8736980	vLN#5	neuron	female organism|adult brain	catmaid_fafb:8736980	8736980
8736990	VM2 ORN #6	neuron	female organism|adult brain	catmaid_fafb:8736990	8736990
8749911	DM5 ORN #16	neuron	female organism|adult brain	catmaid_fafb:8749911	8749911
8750841	DM5 ORN #17	neuron	female organism|adult brain	catmaid_fafb:8750841	8750841
8752609	DM5 ORN #18	neuron	female organism|adult brain	catmaid_fafb:8752609	8752609
8758596	OA Neuron #1	neuron	female organism|adult brain	catmaid_fafb:8758596	8758596
8758601	Patchy LN #17	neuron	female organism|adult brain	catmaid_fafb:8758601	8758601
8762565	DM5 ORN #19	neuron	female organism|adult brain	catmaid_fafb:8762565	8762565
8929885	DA2 ORN #28	neuron	female organism|adult brain	catmaid_fafb:8929885	8929885
8956024	LN #23	neuron	female organism|adult brain	catmaid_fafb:8956024	8956024
8964539	LNsez #2	neuron	female organism|adult brain	catmaid_fafb:8964539	8964539
8990218	DM5 ORN #20	neuron	female organism|adult brain	catmaid_fafb:8990218	8990218
8990226	DM5 ORN #21	neuron	female organism|adult brain	catmaid_fafb:8990226	8990226
9234139	LN #16	neuron	female organism|adult brain	catmaid_fafb:9234139	9234139
9234183	LN #17	neuron	female organism|adult brain	catmaid_fafb:9234183	9234183
10108062	Patchy LN #18	neuron	female organism|adult brain	catmaid_fafb:10108062	10108062
10133855	VM3 ORN #1	neuron	female organism|adult brain	catmaid_fafb:10133855	10133855
10238492	Patchy LN #19	neuron	female organism|adult brain	catmaid_fafb:10238492	10238492
10485942	LN #18	neuron	female organism|adult brain	catmaid_fafb:10485942	10485942
11085282	DM5 ORN #22	neuron	female organism|adult brain	catmaid_fafb:11085282	11085282
11085290	DM5 ORN #1	neuron	female organism|adult brain	catmaid_fafb:11085290	11085290
11161904	DM1 ORN #1	neuron	female organism|adult brain	catmaid_fafb:11161904	11161904
11355584	DC1 ORN #1	neuron	female organism|adult brain	catmaid_fafb:11355584	11355584
11633437	Patchy LN #20	neuron	female organism|adult brain	catmaid_fafb:11633437	11633437
11673863	DM1 ORN #2	neuron	female organism|adult brain	catmaid_fafb:11673863	11673863
11673877	DM1 ORN #3	neuron	female organism|adult brain	catmaid_fafb:11673877	11673877
11720855	DM1 ORN #4	neuron	female organism|adult brain	catmaid_fafb:11720855	11720855
11720861	DM1 ORN #5	neuron	female organism|adult brain	catmaid_fafb:11720861	11720861
11774082	DC1 ORN #2	neuron	female organism|adult brain	catmaid_fafb:11774082	11774082
11858364	DC1 ORN #3	neuron	female organism|adult brain	catmaid_fafb:11858364	11858364
11858419	vLN#6	neuron	female organism|adult brain	catmaid_fafb:11858419	11858419
11858466	DC1 ORN #4	neuron	female organism|adult brain	catmaid_fafb:11858466	11858466
11920073	DM5 ORN #2	neuron	female organism|adult brain	catmaid_fafb:11920073	11920073
11920098	DM5 ORN #3	neuron	female organism|adult brain	catmaid_fafb:11920098	11920098
11949255	vLN#7	neuron	female organism|adult brain	catmaid_fafb:11949255	11949255
11949260	vLN#8	neuron	female organism|adult brain	catmaid_fafb:11949260	11949260
11950655	DM5 ORN #4	neuron	female organism|adult brain	catmaid_fafb:11950655	11950655
11957607	DM5 ORN #5	neuron	female organism|adult brain	catmaid_fafb:11957607	11957607
11957620	DM5 ORN #6	neuron	female organism|adult brain	catmaid_fafb:11957620	11957620
11957632	DM5 ORN #7	neuron	female organism|adult brain	catmaid_fafb:11957632	11957632
12013369	DA2 ORN #1	neuron	female organism|adult brain	catmaid_fafb:12013369	12013369
12013573	DA2 ORN #2	neuron	female organism|adult brain	catmaid_fafb:12013573	12013573
12024537	DA2 ORN #11	neuron	female organism|adult brain	catmaid_fafb:12024537	12024537
12029493	DA2 ORN #3	neuron	female organism|adult brain	catmaid_fafb:12029493	12029493
12039724	LN #19	neuron	female organism|adult brain	catmaid_fafb:12039724	12039724
12081297	vLNb#3	neuron	female organism|adult brain	catmaid_fafb:12081297	12081297
12084779	LN #20	neuron	female organism|adult brain	catmaid_fafb:12084779	12084779
12859930	vLN#9	neuron	female organism|adult brain	catmaid_fafb:12859930	12859930
12859987	VM1 ORN #1	neuron	female organism|adult brain	catmaid_fafb:12859987	12859987
12863515	VM1 ORN #2	neuron	female organism|adult brain	catmaid_fafb:12863515	12863515
12867308	VM1 ORN #3	neuron	female organism|adult brain	catmaid_fafb:12867308	12867308
12995528	LN #21	neuron	female organism|adult brain	catmaid_fafb:12995528	12995528
13281170	DC1 ORN #14	neuron	female organism|adult brain	catmaid_fafb:13281170	13281170
13762716	DM1 ORN #16	neuron	female organism|adult brain	catmaid_fafb:13762716	13762716
14020953	DM1 ORN #24	neuron	female organism|adult brain	catmaid_fafb:14020953	14020953
14023189	DM1 ORN #19	neuron	female organism|adult brain	catmaid_fafb:14023189	14023189
14545747	DM1 ORN #17	neuron	female organism|adult brain	catmaid_fafb:14545747	14545747
