skid	name	paper_id	paper_name
1703751	AD1b2#5 1703752 FML Cremini - downstream of DA2	12870485	Paper: Dolan et al. 2019
1703872	PV2a1#1 1703873 FML Beech - downstream of DA2	12870485	Paper: Dolan et al. 2019
1710793	PV4a2#2 1710794 Tipi ASB RJVR	12870485	Paper: Dolan et al. 2019
1812530	AV4 LH.R -> DA1 Upstream 1812531 RJVR	12870485	Paper: Dolan et al. 2019
1853423	AV4b1#1 1853423 Accursed  RJVR - check FML	12870485	Paper: Dolan et al. 2019
1869224	PV4d2#1 1869225 Baza ASB	12870485	Paper: Dolan et al. 2019
1870230	AV2a2#1 1870231 RJVR AJES PS	12870485	Paper: Dolan et al. 2019
1879479	AD1a2#1 LH.R -> SLP.R RJVR 1879478 Aspis-like	12870485	Paper: Dolan et al. 2019
1911124	AV4 [LH.R] 1911125 FML PS RJVR	12870485	Paper: Dolan et al. 2019
1967862	AV1a2#1 1967863 Pheasant AJES	12870485	Paper: Dolan et al. 2019
1967891	AV4b9#1 1967892 Sea-eagle PS	12870485	Paper: Dolan et al. 2019
2096700	PV4b2 2096701 Phil Harris RJVR	12870485	Paper: Dolan et al. 2019
2130631	PV6a3#2 2130632 Wilson FML ASB 	12870485	Paper: Dolan et al. 2019
2153398	WED-PN4#1 2153399 Double Trouble RJVR ASB	12870485	Paper: Dolan et al. 2019
2198365	AV2b1#1 LHON Savage RJVR	12870485	Paper: Dolan et al. 2019
2227995	WED-PN1#1 2227996 Grey Herron SD	12870485	Paper: Dolan et al. 2019
2391559	PV4 LH.R -> CAL.R 2391560 DL4 Upstream RJVR Ramoth	12870485	Paper: Dolan et al. 2019
2402951	AD1a2#1 2402952 Coppitt FML	12870485	Paper: Dolan et al. 2019
2425247	PV5a1#1 1288666 Falcon ASB	12870485	Paper: Dolan et al. 2019
2548003	PV4a7#1 2548004 Teal ASB	12870485	Paper: Dolan et al. 2019
2638597	AV2b3#1 2638598 Saddlebunch FML	12870485	Paper: Dolan et al. 2019
2684792	AV1a1#2 2684793 Pigeon RJVR FML ZM	12870485	Paper: Dolan et al. 2019
2794070	putative LH.R->AVLP.R 2794071 Curiously Cinnamon ZM	12870485	Paper: Dolan et al. 2019
2842610	AD1b2#2 2842611 Alka Seltzer CMM	12870485	Paper: Dolan et al. 2019
2851242	AV4a3#1 2851243 Dove RJVR	12870485	Paper: Dolan et al. 2019
2969221	AD2a2#1 2969222 Uncle Sam CMM	12870485	Paper: Dolan et al. 2019
3075158	AD1b2#3 3075159 Howard Hughes JJ	12870485	Paper: Dolan et al. 2019
3078257	AD1b2#9 3078258 Oberon JJ	12870485	Paper: Dolan et al. 2019
3080086	AD1b2#4 3080087 Team Rocket RT JJ JH PS	12870485	Paper: Dolan et al. 2019
3080225	AD1b2#6 3080226 Dark World JJ	12870485	Paper: Dolan et al. 2019
3136591	PV2d1#1 DL4 upstream 3136592 Auk RJVR ASB	12870485	Paper: Dolan et al. 2019
3367291	PV4 [LH.R] 3367292 Twirl ASB	12870485	Paper: Dolan et al. 2019
3481901	PD3a1#1 3481902 DC4 Bully RJVR ASB	12870485	Paper: Dolan et al. 2019
3587600	Terribly Lost 3587601 ASB	12870485	Paper: Dolan et al. 2019
3877150	AD1b2#8 3877151 Tech World JJ PS	12870485	Paper: Dolan et al. 2019
3897655	PV4a1#3 3897656 Christine Daaé SD	12870485	Paper: Dolan et al. 2019
3931736	PV3f1#1 3931737 Goshawk ASB	12870485	Paper: Dolan et al. 2019
3931886	PV2 3931887 RJVR ASB	12870485	Paper: Dolan et al. 2019
3932461	PV2 [LH.R] 3932462 ASB	12870485	Paper: Dolan et al. 2019
3950037	Not WED-PN 3950038 PDP	12870485	Paper: Dolan et al. 2019
4017748	Putative TPN {lALT} 4017749 Quail RJVR 	12870485	Paper: Dolan et al. 2019
4044614	PV4a2#1 4044615 Jolene SD	12870485	Paper: Dolan et al. 2019
4100701	PV4a5#1 4100702 Legolas RJVR SD	12870485	Paper: Dolan et al. 2019
4176088	AV7a1#1 4176089 Osprey ASB	12870485	Paper: Dolan et al. 2019
4182038	PD3a2#1 4182039 Ragdoll ASB	12870485	Paper: Dolan et al. 2019
4191753	VPN-1#1 4191754 Petrel RJVR ASB	12870485	Paper: Dolan et al. 2019
4215506	PV4a4#1 4215507 Valjean SD	12870485	Paper: Dolan et al. 2019
4292232	PV4c2#1 4292233 Jekyll SD	12870485	Paper: Dolan et al. 2019
4355299	PV4 [LH.R] 4355300 Pontmercy SD	12870485	Paper: Dolan et al. 2019
4513533	AD1b2#1 4513534 Hamburger CMM	12870485	Paper: Dolan et al. 2019
4672476	WED-PN5#1 4672477 Flamingo PMJ	12870485	Paper: Dolan et al. 2019
4744251	AD1b2#10 3104105 Home World JJ ZM	12870485	Paper: Dolan et al. 2019
4902612	AV6b1 neuron 4902613 Salamander ASB	12870485	Paper: Dolan et al. 2019
4945705	[LH.R] --> ? 4945706 SD	12870485	Paper: Dolan et al. 2019
4946872	PV2#e1 4946873 Red Kite ASB SD	12870485	Paper: Dolan et al. 2019
4974403	PV2 4974404 Hobby ASB	12870485	Paper: Dolan et al. 2019
5292219	PV5b2#1 5292220 Hawk ASB	12870485	Paper: Dolan et al. 2019
5676478	PV5c2#1 5676479 Tawny Owl ASB	12870485	Paper: Dolan et al. 2019
5807217	PV5g2#1 5807218 ARJ ASB	12870485	Paper: Dolan et al. 2019
5918547	PV4a2#3 5918548 Jasmine SD	12870485	Paper: Dolan et al. 2019
5990596	AV4b8 5990597 Snake-Eagle  ASB	12870485	Paper: Dolan et al. 2019
6197374	PV5c2#1 6197375 Marsh Harrier ASB	12870485	Paper: Dolan et al. 2019
6203604	PV4b1#1 6203605 Kingfisher ASB	12870485	Paper: Dolan et al. 2019
6536624	AD1b1#1 SLP.R-SIP.R-SMP.R aSP-g tract neuron 6536625	12870485	Paper: Dolan et al. 2019
6772893	putative 125 6772894 Alexander Robert Paul Harrison SD	12870485	Paper: Dolan et al. 2019
6825565	PV4a2#4 6825566 Wigeon ASB	12870485	Paper: Dolan et al. 2019
7483643	PV4a1#2 [LH.R] 4A 2861336 Igloo ASB	12870485	Paper: Dolan et al. 2019
7739922	putative TPN-1 7739923 IT RJVR	12870485	Paper: Dolan et al. 2019
8521115	possible 137 candidate 8521116 RJVR	12870485	Paper: Dolan et al. 2019
8739442	PV6 8739443 Unexpected Victory CMM ASB	12870485	Paper: Dolan et al. 2019
8927505	PV2 AVLP.R -> SLP.R 8927506 RJVR Bateleur	12870485	Paper: Dolan et al. 2019
11519370	AD1a1#1 1298753 Synchronize Your Dogmas ASB	12870485	Paper: Dolan et al. 2019
11519536	PV4 [LH.R] 3248571 RJVR Epee	12870485	Paper: Dolan et al. 2019
11520049	ASB CHECK	12870485	Paper: Dolan et al. 2019
11522508	LH.R->1947662 Swirl ASB 	12870485	Paper: Dolan et al. 2019
11522927	PV4a1#1 4A 4044753 Valerie SD	12870485	Paper: Dolan et al. 2019
11524200	PV5b1#1 2165216 Kestrel ASB	12870485	Paper: Dolan et al. 2019
11524299	LH.R -> SLP.R 5005961 RJVR Gyrfalcon	12870485	Paper: Dolan et al. 2019
11524386	PV4a3#1 5918554 Marshall SD	12870485	Paper: Dolan et al. 2019
11524475	LH.R -> SLP.R 1704980 FML Fly Agaric - downstream of DA2	12870485	Paper: Dolan et al. 2019
11545702	PV12a1 putative Gad1-F-600202 40613 AJ	12870485	Paper: Dolan et al. 2019
2109445	MBON-y5B'2a 2109446 NS	12823574	Paper: Felsenberg et al 2018
2333007	MBON-y1pedc>a/B 298954 JSL	12823574	Paper: Felsenberg et al 2018
4291899	Neuron 4291900 Putative MBON-B'2mp	12823574	Paper: Felsenberg et al 2018
33	PN glomerulus VA6 017 DB	11490509	Paper: Zheng et al 2018
7286	KCa'B'ap 7287 EAM	11490509	Paper: Zheng et al 2018
7646	KCa'B'm 7647 LK	11490509	Paper: Zheng et al 2018
9578	KCy 9579 EAM	11490509	Paper: Zheng et al 2018
11742	KCa'B'm 11743 BAK	11490509	Paper: Zheng et al 2018
12874	KCa'B'm 12875 ARH	11490509	Paper: Zheng et al 2018
13018	KCaBc 13019 AA	11490509	Paper: Zheng et al 2018
16406	KCa'B'ap 16407 BH	11490509	Paper: Zheng et al 2018
21999	PN glomerulus VL2a 22000 JMR	11490509	Paper: Zheng et al 2018
22132	PN glomerulus VC1 22133 BH	11490509	Paper: Zheng et al 2018
22277	PN glomerulus VC3m 22278 AA	11490509	Paper: Zheng et al 2018
22422	PN glomerulus DL2v 22423 JMR	11490509	Paper: Zheng et al 2018
22594	PN glomerulus DM5 22595 BH	11490509	Paper: Zheng et al 2018
22744	PN glomerulus VC3m 22745 JMR	11490509	Paper: Zheng et al 2018
22906	PN glomerulus VA5 22907 JMR	11490509	Paper: Zheng et al 2018
22976	PN glomerulus VL2p 22977 JMR	11490509	Paper: Zheng et al 2018
23005	VP1d + VP4 PN lALT 23006 bilateral AA ECM	11490509	Paper: Zheng et al 2018
23134	PN glomerulus VC3l 23135 BH	11490509	Paper: Zheng et al 2018
23432	PN glomerulus VA2 23433 AA	11490509	Paper: Zheng et al 2018
23512	PN glomerulus VM5v 23513 CF	11490509	Paper: Zheng et al 2018
23569	PN glomerulus VA4 23570 AA	11490509	Paper: Zheng et al 2018
23597	PN glomerulus VM4 23598 BH	11490509	Paper: Zheng et al 2018
23829	PN glomerulus DL4 23830 JMR	11490509	Paper: Zheng et al 2018
24251	PN glomerulus VM7v 24252 LK	11490509	Paper: Zheng et al 2018
24622	PN glomerulus D 24623 CF	11490509	Paper: Zheng et al 2018
24726	PN glomerulus VM1 24727 BH	11490509	Paper: Zheng et al 2018
27048	PN glomerulus DP1l 27049 BH	11490509	Paper: Zheng et al 2018
27246	PN glomerulus VM3 27247 JMR	11490509	Paper: Zheng et al 2018
27295	PN glomerulus DA1 27296 BH	11490509	Paper: Zheng et al 2018
27611	PN glomerulus DM5 27612 JMR	11490509	Paper: Zheng et al 2018
27884	PN glomerulus V bilateral 27885 JMR	11490509	Paper: Zheng et al 2018
28876	PN glomerulus DM3 28877 JMR	11490509	Paper: Zheng et al 2018
30434	PN glomerulus VM5v 30435 BH	11490509	Paper: Zheng et al 2018
30591	MBON-Calyx 30592 ARH ASB JSL	11490509	Paper: Zheng et al 2018
30791	PN glomerulus DL2d 30792 BH	11490509	Paper: Zheng et al 2018
30891	PN glomerulus DM1 30892 BH	11490509	Paper: Zheng et al 2018
32214	PN glomerulus VA7m 32215 BH	11490509	Paper: Zheng et al 2018
32399	PN glomerulus DC3 32400 AA	11490509	Paper: Zheng et al 2018
33903	PN glomerulus DL3 33904 JMR	11490509	Paper: Zheng et al 2018
35246	PN glomerulus D 35247 AA	11490509	Paper: Zheng et al 2018
35447	PN glomerulus VM5d 35448 AA	11490509	Paper: Zheng et al 2018
36108	PN glomerulus VA7m 36109 BH	11490509	Paper: Zheng et al 2018
36390	PN glomerulus VA1d 36391 BH	11490509	Paper: Zheng et al 2018
37212	Multiglomerular PN unknown 37213 JMR	11490509	Paper: Zheng et al 2018
37235	Multiglomerular PN unknown 37236 JMR	11490509	Paper: Zheng et al 2018
37250	PN glomerulus DA4m 37251 JMR	11490509	Paper: Zheng et al 2018
37513	VP3 PN mALT bilateral 37489 AJ	11490509	Paper: Zheng et al 2018
37935	PN glomerulus VC4 37936 CF	11490509	Paper: Zheng et al 2018
38885	PN glomerulus DA2 38886 BH	11490509	Paper: Zheng et al 2018
39139	PN glomerulus VM5d 39140 CF	11490509	Paper: Zheng et al 2018
39254	PN putative glomerulus VC5 39255 JMR	11490509	Paper: Zheng et al 2018
39668	PN glomerulus DL5 39669 JMR	11490509	Paper: Zheng et al 2018
39682	PN glomerulus DM4 39683 JMR	11490509	Paper: Zheng et al 2018
40306	PN glomerulus VM7d 40307 CF	11490509	Paper: Zheng et al 2018
40637	PN glomerulus D 40638 BH	11490509	Paper: Zheng et al 2018
40749	PN glomerulus DA4l 40750 BH	11490509	Paper: Zheng et al 2018
41308	PN glomerulus VM3 41309 BH	11490509	Paper: Zheng et al 2018
41578	PN glomerulus VC3l 41579 AJ	11490509	Paper: Zheng et al 2018
42421	PN glomerulus VA1d 42422 JMR	11490509	Paper: Zheng et al 2018
42927	PN glomerulus VC4 42928 JMR	11490509	Paper: Zheng et al 2018
43539	PN glomerulus VM7v 43540 CF	11490509	Paper: Zheng et al 2018
45242	PN glomerulus VC2 45243 AA	11490509	Paper: Zheng et al 2018
45882	VP3 PN mALT bilateral 45883 AA ECM	11490509	Paper: Zheng et al 2018
46105	Bilateral VP5 + VP1m PN mALT 46106 AA ECM	11490509	Paper: Zheng et al 2018
46493	PN glomerulus DC4 46494 JMR	11490509	Paper: Zheng et al 2018
46800	PN glomerulus VC3l 46801 JMR	11490509	Paper: Zheng et al 2018
49026	adPN polyL 49027 AJ	11490509	Paper: Zheng et al 2018
49865	PN glomerulus VM5d 49866 JMR	11490509	Paper: Zheng et al 2018
51080	PN glomerulus VA1v 57251 LK	11490509	Paper: Zheng et al 2018
51886	PN glomerulus VM2 51887 AA	11490509	Paper: Zheng et al 2018
52106	PN glomerulus VA1v 52107 AA	11490509	Paper: Zheng et al 2018
53631	PN glomerulus DA2 53632 AA	11490509	Paper: Zheng et al 2018
53671	PN glomerulus VM5v 53672 AA	11490509	Paper: Zheng et al 2018
54072	PN glomerulus VM2 54073 JMR	11490509	Paper: Zheng et al 2018
55085	PN glomerulus VC4 55086 AJ	11490509	Paper: Zheng et al 2018
55125	PN glomerulus VA1v 55126 BH	11490509	Paper: Zheng et al 2018
56424	PN glomerulus DM2 56425 BH	11490509	Paper: Zheng et al 2018
56623	PN glomerulus DL2v 56624 BH	11490509	Paper: Zheng et al 2018
57003	PN glomerulus lvVM4 57004 ML	11490509	Paper: Zheng et al 2018
57241	PN glomerulus DC3 57242 ML	11490509	Paper: Zheng et al 2018
57246	PN glomerulus VA1v 57247 HG	11490509	Paper: Zheng et al 2018
57254	adPN polyL 57255 NS	11490509	Paper: Zheng et al 2018
57266	adPN polyL 57267 ML	11490509	Paper: Zheng et al 2018
57274	mALT mPN putative DP1l glomerulus and glomerulus VL2p 57275 LK	11490509	Paper: Zheng et al 2018
57307	PN glomerulus DM6 57308 ML	11490509	Paper: Zheng et al 2018
57311	PN glomerulus DA1 57312 LK	11490509	Paper: Zheng et al 2018
57319	PN glomerulus VA3 57320 IJA	11490509	Paper: Zheng et al 2018
57323	PN glomerulus DA1 57324 LK JSL	11490509	Paper: Zheng et al 2018
57333	PN glomerulus DL2d 57334 IJA	11490509	Paper: Zheng et al 2018
57337	PN glomerulus DL2d 57338 IJA	11490509	Paper: Zheng et al 2018
57341	PN glomerulus DL2d 57342 ML	11490509	Paper: Zheng et al 2018
57349	PN glomerulus DA3 57350 HG	11490509	Paper: Zheng et al 2018
57353	PN glomerulus DA1 57354 GA	11490509	Paper: Zheng et al 2018
57361	PN glomerulus VA5 57362 ML	11490509	Paper: Zheng et al 2018
57365	PN glomerulus VA5 57366 NS	11490509	Paper: Zheng et al 2018
57381	PN glomerulus DA1 57382 ML	11490509	Paper: Zheng et al 2018
57385	PN glomerulus DM5 57386 HG	11490509	Paper: Zheng et al 2018
57402	PN glomerulus DC2 57403 SM	11490509	Paper: Zheng et al 2018
57410	PN glomerulus VA7l 57411 NS	11490509	Paper: Zheng et al 2018
57414	PN glomerulus DC3 57415 LK	11490509	Paper: Zheng et al 2018
57418	PN glomerulus DA2 57419 LK	11490509	Paper: Zheng et al 2018
57422	PN glomerulus DA2 57423 NS A	11490509	Paper: Zheng et al 2018
57426	Multiglomerular PN mALT 57427 NS	11490509	Paper: Zheng et al 2018
57471	VP5+ and SEZ PN mALT 57472 LK ECM	11490509	Paper: Zheng et al 2018
57499	PN glomerulus VL1 57500 ML	11490509	Paper: Zheng et al 2018
57503	Bilateral VP1m + VP5 PN mALT 57504 LK ECM	11490509	Paper: Zheng et al 2018
57516	VP2 PN mALT 57517 LK ECM	11490509	Paper: Zheng et al 2018
58686	PN glomerulus DP1m 22768 BH ASB	11490509	Paper: Zheng et al 2018
59129	Multiglomerular PN mALT VM5v+X 59130 AJ	11490509	Paper: Zheng et al 2018
60445	putative MB-C1 32768 JMR	11490509	Paper: Zheng et al 2018
60799	PN glomerulus DM6 60800 JMR	11490509	Paper: Zheng et al 2018
61221	PN glomerulus DA1 61222 AJ	11490509	Paper: Zheng et al 2018
61773	PN glomerulus DL2v 61774 JMR	11490509	Paper: Zheng et al 2018
62434	PN glomerulus VM5d 62435 AJ	11490509	Paper: Zheng et al 2018
65465	PN glomerulus DA3 57407 ML	11490509	Paper: Zheng et al 2018
65762	PN glomerulus DC2 65763 AJ	11490509	Paper: Zheng et al 2018
67408	PN glomerulus DM2 67409 BH	11490509	Paper: Zheng et al 2018
67637	PN glomerulus DL2v 67638 BH	11490509	Paper: Zheng et al 2018
68697	PN glomerulus DM6 68698 BH	11490509	Paper: Zheng et al 2018
73937	PN glomerulus VL1 73938 LK	11490509	Paper: Zheng et al 2018
165303	PN glomerulus VA3 34321 JMR	11490509	Paper: Zheng et al 2018
175032	KCa'B'ap 175033 AJ	11490509	Paper: Zheng et al 2018
186573	PN glomerulus VA7m 21764 AA	11490509	Paper: Zheng et al 2018
192423	VP1d dlALT PN 192424 CLM -NM	11490509	Paper: Zheng et al 2018
192547	PN glomerulus V bilateral 192548 EAM GSXEJ RJVR	11490509	Paper: Zheng et al 2018
203504	VP1d dlALT PN 71750 ARH-NM	11490509	Paper: Zheng et al 2018
203840	APL 203841 MR JSL	11490509	Paper: Zheng et al 2018
205947	KCaBs 205948 ARH CF	11490509	Paper: Zheng et al 2018
400943	PN glomerulus VC3m 24596 BH	11490509	Paper: Zheng et al 2018
424295	KCaBc 424296 NS	11490509	Paper: Zheng et al 2018
424379	KCaBs 424380 LK	11490509	Paper: Zheng et al 2018
515387	KCaBs 515388 IJA	11490509	Paper: Zheng et al 2018
535060	putative MB-C1 535061	11490509	Paper: Zheng et al 2018
581536	PN glomerulus DL3 47095 JMR	11490509	Paper: Zheng et al 2018
755022	PN glomerulus DA1 57358 IJA	11490509	Paper: Zheng et al 2018
771242	PN glomerulus DC1 23665 AA	11490509	Paper: Zheng et al 2018
775731	PN glomerulus VM1 39831 JMR	11490509	Paper: Zheng et al 2018
1149173	VP4 PN t5ALT mlALT 282136 RJVR ECM	11490509	Paper: Zheng et al 2018
1530770	MB-CP2 SCL fragment 68908	11490509	Paper: Zheng et al 2018
1549518	contralateral MB-CP2 1549519 SAC	11490509	Paper: Zheng et al 2018
1746412	KCaBc 424308 CF	11490509	Paper: Zheng et al 2018
1775706	PN glomerulus DL1 22153 JMR	11490509	Paper: Zheng et al 2018
1785034	PN glomerulus DA2 57399 LK	11490509	Paper: Zheng et al 2018
3104789	KCy 16943 BH	11490509	Paper: Zheng et al 2018
3445525	KCy 6487 ML-NS	11490509	Paper: Zheng et al 2018
