filename	label	is_a	part_of	overlaps	comment	dbxrefs
603846	muscle 94715 (T1LEG:603846)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603846
603858	neuron 82427 (T1LEG:603858)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"leaves volume, femoral bristle, sensory neuron"	catmaid_leg40:603858
603871	muscle 94719 (T1LEG:603871)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603871
603883	neuron 125439 (T1LEG:603883)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103349, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:603883
603899	neuron 82433 (T1LEG:603899)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"main leg nerve, FeCS11, sensory neuron, femoral campaniform sensillum"	catmaid_leg40:603899
603919	neuron 82439 (T1LEG:603919)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"main leg nerve, femoral campaniform sensillum, FeCS11, sensory neuron"	catmaid_leg40:603919
603936	muscle 94727 (T1LEG:603936)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603936
603948	neuron 125451 (T1LEG:603948)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103361, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:603948
603964	neuron 82444 (T1LEG:603964)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:603964
603976	muscle 94733 (T1LEG:603976)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603976
603988	muscle 94739 (T1LEG:603988)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:603988
604000	neuron 117267 (T1LEG:604000)	leg muscle motor neuron	female organism	prothoracic leg	"main leg nerve, tibial motor neuron"	catmaid_leg40:604000
604016	LinB-Tr2 neuron 74261 (T1LEG:604016)	femoral depressor motor neuron Tr2	female organism	prothoracic leg	"possible LinB-Tr2, main leg nerve, trochanteral motor neuron"	catmaid_leg40:604016
604038	neuron 82455 (T1LEG:604038)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"FeCS11, sensory neuron, femoral campaniform sensillum"	catmaid_leg40:604038
604053	muscle 94745 (T1LEG:604053)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:604053
604065	neuron 82460 (T1LEG:604065)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"sensory neuron, FeCS11, femoral campaniform sensillum"	catmaid_leg40:604065
604080	muscle 94751 (T1LEG:604080)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:604080
604092	neuron 82465 (T1LEG:604092)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"FeCS11, sensory neuron, femoral campaniform sensillum"	catmaid_leg40:604092
604106	neuron 82470 (T1LEG:604106)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"FeCS11, femoral campaniform sensillum, sensory neuron"	catmaid_leg40:604106
604121	muscle 94762 (T1LEG:604121)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:604121
604133	neuron 82475 (T1LEG:604133)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"FeCS11, femoral campaniform sensillum, sensory neuron"	catmaid_leg40:604133
604148	neuron 82480 (T1LEG:604148)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"FeCS11, femoral campaniform sensillum, sensory neuron"	catmaid_leg40:604148
604163	muscle 94768 (T1LEG:604163)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:604163
604175	neuron 82485 (T1LEG:604175)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"FeCS11, femoral campaniform sensillum, sensory neuron"	catmaid_leg40:604175
604190	neuron 125493 (T1LEG:604190)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103355, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:604190
604206	muscle 94777 (T1LEG:604206)	somatic muscle cell of prothoracic leg	female organism|prothoracic leg		"trochanter muscle 1, trochanteral muscle fiber"	catmaid_leg40:604206
604218	neuron 82490 (T1LEG:604218)	mechanosensory neuron of prothoracic femoral campaniform sensillum Sc11	female organism	prothoracic leg	"femoral campaniform sensillum, sensory neuron, FeCS11"	catmaid_leg40:604218
604233	neuron 94788 (T1LEG:604233)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103104, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604233
604249	neuron 74313 (T1LEG:604249)	prothoracic femoral pretarsal depressor muscle motor neuron	female organism	prothoracic leg	"possible LinA-Fe1, R81A04-Gal4, long tendon muscle 2 motor neuron, femoral motor neuron"	catmaid_leg40:604249
604275	neuron 94794 (T1LEG:604275)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103111, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604275
604291	neuron 125515 (T1LEG:604291)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103388, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:604291
604307	neuron 94800 (T1LEG:604307)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103111, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604307
604322	neuron 94806 (T1LEG:604322)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103104, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604322
604337	neuron 82529 (T1LEG:604337)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:604337
604349	neuron 94817 (T1LEG:604349)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, femoral chordotonal neuron, innervates scolopidium 103099, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604349
604365	neuron 125538 (T1LEG:604365)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103516, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:604365
604381	neuron 82535 (T1LEG:604381)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:604381
604393	neuron 94823 (T1LEG:604393)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103099, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604393
604408	neuron 82541 (T1LEG:604408)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:604408
604420	neuron 94829 (T1LEG:604420)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103301, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604420
604436	neuron 125549 (T1LEG:604436)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103404, femoral chordotonal neuron, attaches to FeCO lateral tendon"	catmaid_leg40:604436
604452	neuron 82547 (T1LEG:604452)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:604452
604464	neuron 94835 (T1LEG:604464)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103094, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604464
604480	scolopidium 103027 (T1LEG:604480)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604480
604495	neuron 82553 (T1LEG:604495)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:604495
604507	neuron 94841 (T1LEG:604507)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103094, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604507
604522	scolopidium 103036 (T1LEG:604522)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604522
604535	neuron 94847 (T1LEG:604535)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103087, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604535
604551	scolopidium 103041 (T1LEG:604551)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604551
604564	neuron 94853 (T1LEG:604564)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103087, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604564
604579	scolopidium 103046 (T1LEG:604579)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604579
604592	neuron 94859 (T1LEG:604592)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103081, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604592
604608	scolopidium 103051 (T1LEG:604608)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604608
604621	neuron 82573 (T1LEG:604621)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, leaves volume, sensory neuron"	catmaid_leg40:604621
604634	scolopidium 103056 (T1LEG:604634)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604634
604647	neuron 94865 (T1LEG:604647)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103076, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604647
604663	neuron 82579 (T1LEG:604663)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, femoral bristle"	catmaid_leg40:604663
604675	scolopidium 103061 (T1LEG:604675)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604675
604688	neuron 82583 (T1LEG:604688)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, femoral bristle"	catmaid_leg40:604688
604700	neuron 94871 (T1LEG:604700)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103076, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604700
604715	scolopidium 103066 (T1LEG:604715)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604715
604728	neuron 82587 (T1LEG:604728)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, leaves volume, sensory neuron"	catmaid_leg40:604728
604741	neuron 94877 (T1LEG:604741)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103071, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604741
604757	neuron 82591 (T1LEG:604757)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, leaves volume, sensory neuron"	catmaid_leg40:604757
604770	scolopidium 103071 (T1LEG:604770)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604770
604783	neuron 82595 (T1LEG:604783)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:604783
604795	neuron 94883 (T1LEG:604795)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103066, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604795
604811	scolopidium 103076 (T1LEG:604811)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604811
604824	neuron 82599 (T1LEG:604824)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:604824
604836	neuron 94889 (T1LEG:604836)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103066, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604836
604851	scolopidium 103081 (T1LEG:604851)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604851
604864	neuron 82603 (T1LEG:604864)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:604864
604876	neuron 94895 (T1LEG:604876)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103071, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604876
604891	scolopidium 103087 (T1LEG:604891)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604891
604904	scolopidium 103094 (T1LEG:604904)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604904
604917	neuron 94903 (T1LEG:604917)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103061, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604917
604933	scolopidium 103099 (T1LEG:604933)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604933
604946	neuron 94908 (T1LEG:604946)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103061, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604946
604961	scolopidium 103104 (T1LEG:604961)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604961
604974	neuron 94915 (T1LEG:604974)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103051, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604974
604990	scolopidium 103111 (T1LEG:604990)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:604990
605003	neuron 94921 (T1LEG:605003)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103056, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605003
605019	neuron 82634 (T1LEG:605019)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605019
605031	neuron 82640 (T1LEG:605031)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605031
605043	neuron 94932 (T1LEG:605043)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103051, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605043
605058	neuron 82646 (T1LEG:605058)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605058
605070	neuron 74085 (T1LEG:605070)	mechanosensory neuron of prothoracic trochanter hair plate TrHP6	female organism	prothoracic leg	"hair plate, coxa-trochanter joint, sensory neuron, TrHP6"	catmaid_leg40:605070
605087	neuron 82652 (T1LEG:605087)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"sensory neuron, femoral bristle"	catmaid_leg40:605087
605099	neuron 94940 (T1LEG:605099)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103056, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605099
605114	neuron 82657 (T1LEG:605114)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605114
605126	neuron 94946 (T1LEG:605126)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103046, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605126
605142	neuron 82663 (T1LEG:605142)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605142
605154	neuron 94952 (T1LEG:605154)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103041, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605154
605170	neuron 80619 (T1LEG:605170)	mechanosensory neuron of prothoracic trochanter campaniform sensillum Sc-8	female organism	prothoracic leg	"TrCS8, trochanteral campaniform sensillum, sensory neuron"	catmaid_leg40:605170
605186	neuron 94958 (T1LEG:605186)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103046, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605186
605201	neuron 82671 (T1LEG:605201)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, leaves volume, sensory neuron"	catmaid_leg40:605201
605214	scolopidium 103150 (T1LEG:605214)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon"	catmaid_leg40:605214
605227	scolopidium 103155 (T1LEG:605227)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605227
605240	neuron 82677 (T1LEG:605240)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605240
605252	neuron 94967 (T1LEG:605252)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103041, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605252
605267	scolopidium 103160 (T1LEG:605267)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605267
605280	neuron 82683 (T1LEG:605280)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605280
605292	neuron 94973 (T1LEG:605292)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103036, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605292
605308	neuron 82690 (T1LEG:605308)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605308
605320	neuron 94979 (T1LEG:605320)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103036, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605320
605335	neuron 82696 (T1LEG:605335)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605335
605347	neuron 94985 (T1LEG:605347)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103027, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605347
605363	neuron 74096 (T1LEG:605363)	mechanosensory neuron of prothoracic trochanter hair plate TrHP6	female organism	prothoracic leg	"TrHP6, sensory neuron, hair plate, coxa-trochanter joint"	catmaid_leg40:605363
605380	neuron 94991 (T1LEG:605380)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103027, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605380
605395	neuron 94997 (T1LEG:605395)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103081, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605395
605410	neuron 74067 (T1LEG:605410)	mechanosensory neuron of prothoracic trochanter hair plate TrHP6	female organism	prothoracic leg	"TrHP6, sensory neuron, hair plate, coxa-trochanter joint"	catmaid_leg40:605410
605426	muscle 92959 (T1LEG:605426)	prothoracic tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:605426
605439	neuron 82720 (T1LEG:605439)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605439
605451	neuron 95008 (T1LEG:605451)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103160, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605451
605467	scolopidium 103204 (T1LEG:605467)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605467
605480	scolopidium 103209 (T1LEG:605480)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605480
605493	neuron 82730 (T1LEG:605493)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605493
605505	neuron 95019 (T1LEG:605505)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103244, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605505
605521	left dorsal nerve trimmed (T1LEG:605521)	adult dorsal prothoracic nerve	female organism|prothoracic leg		dorsal nerve	catmaid_leg40:605521
605533	neuron 82736 (T1LEG:605533)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605533
605545	neuron 95028 (T1LEG:605545)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103301, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605545
605560	neuron 82742 (T1LEG:605560)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605560
605572	neuron 95034 (T1LEG:605572)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103160, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605572
605587	neuron 82748 (T1LEG:605587)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605587
605599	scolopidium 103229 (T1LEG:605599)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605599
605612	muscle 92990 (T1LEG:605612)	prothoracic tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:605612
605625	neuron 95040 (T1LEG:605625)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103234, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605625
605640	neuron 82754 (T1LEG:605640)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605640
605652	scolopidium 103234 (T1LEG:605652)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605652
605665	neuron 95046 (T1LEG:605665)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103244, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605665
605680	scolopidium 103239 (T1LEG:605680)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605680
605693	neuron 82760 (T1LEG:605693)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605693
605705	muscle 93000 (T1LEG:605705)	prothoracic tibial reductor muscle cell	female organism|prothoracic leg		"femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber"	catmaid_leg40:605705
605718	neuron 95052 (T1LEG:605718)	mechanosensory neuron of prothoracic femoral chordotonal organ	female organism	prothoracic leg	"sensory neuron, innervates scolopidium 103204, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605718
605733	scolopidium 103244 (T1LEG:605733)	femoral chordotonal organ scolopidium	female organism|prothoracic leg		"dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon"	catmaid_leg40:605733
605746	neuron 82766 (T1LEG:605746)	prothoracic femoral bristle sensory neuron	female organism	prothoracic leg	"femoral bristle, sensory neuron"	catmaid_leg40:605746
