filename	label	is_a	part_of	dbxrefs	synonyms
57146	Uniglomerular mALT VP2 + SEZ lvPN#R1 (skeleton_id:57146)	neuron	female organism|adult brain	catmaid_fafb:57146	Uniglomerular mALT VP2 + SEZ lvPN 57147 HG SAC
57158	Multiglomerular mALT lvPN#R44 (skeleton_id:57158)	neuron	female organism|adult brain	catmaid_fafb:57158	Multiglomerular mALT lvPN DC3+DA1+DA3+3 LTS 0.95 DA1 Type 2 R 57159 GA
57166	Uniglomerular mALT VP2 + SEZ lvPN#R2 (skeleton_id:57166)	neuron	female organism|adult brain	catmaid_fafb:57166	Uniglomerular mALT VP2 + SEZ lvPN 57167 LK
57171	Multiglomerular mALT lvPN#R30 (skeleton_id:57171)	neuron	female organism|adult brain	catmaid_fafb:57171	Multiglomerular mALT lvPN DL2d+VL1+VL2p+4 LTS 0.9 57172 LK
57175	Multiglomerular mALT lvPN#R19 (skeleton_id:57175)	neuron	female organism|adult brain	catmaid_fafb:57175	Multiglomerular mALT lvPN VC5+VM1+VM4+2 LTS 0.96 57176 IJA ECM
57179	Multiglomerular mALT lvPN#R46 (skeleton_id:57179)	neuron	female organism|adult brain	catmaid_fafb:57179	Multiglomerular mALT lvPN DA1 DA1+DA3+DC3+1 LTS 0.97 Type 2 R 57180 LK
57192	Uniglomerular mALT VM4 lvPN#R2 (skeleton_id:57192)	neuron	female organism|adult brain	catmaid_fafb:57192	Uniglomerular mALT VM4 lvPN 57193 LK
57196	Multiglomerular mALT lvPN#R32 (skeleton_id:57196)	neuron	female organism|adult brain	catmaid_fafb:57196	Multiglomerular mALT lvPN DL4+DL5+DP1l+3 LTS 0.93 57197 ML
57200	Uniglomerular mALT VP1l+ lvPN#R2 (skeleton_id:57200)	neuron	female organism|adult brain	catmaid_fafb:57200	Uniglomerular mALT VP1l+ lvPN 57201 NS ECM
57204	Multiglomerular mALT lvPN#R16 (skeleton_id:57204)	neuron	female organism|adult brain	catmaid_fafb:57204	Multiglomerular mALT lvPN VC3l+VC4+VL2p+4 LTS 0.92 57205 IJA
57208	Multiglomerular mALT lvPN#R17 (skeleton_id:57208)	neuron	female organism|adult brain	catmaid_fafb:57208	Multiglomerular mALT lvPN VL2p+VC3m+VC5+5 LTS 0.92 57209 IJA
57212	Multiglomerular mALT lvPN#R33 (skeleton_id:57212)	neuron	female organism|adult brain	catmaid_fafb:57212	Multiglomerular mALT lvPN DL4+VL2p+VL1+5 LTS 0.89 57213 IJA ECM
57216	Uniglomerular mALT DL5 lvPN#R1 (skeleton_id:57216)	neuron	female organism|adult brain	catmaid_fafb:57216	Uniglomerular mALT DL5 lvPN 57217 GA
57220	Multiglomerular mALT lvPN#R9 (skeleton_id:57220)	neuron	female organism|adult brain	catmaid_fafb:57220	Multiglomerular mALT lvPN VA4+DM1+DM3+5 LTS 0.91 57221 LK NAS
57224	Uniglomerular mALT VP1l+ lvPN#R1 (skeleton_id:57224)	neuron	female organism|adult brain	catmaid_fafb:57224	Uniglomerular mALT VP1l+ lvPN 57225 ML
57232	Multiglomerular mALT lvPN#R24 (skeleton_id:57232)	neuron	female organism|adult brain	catmaid_fafb:57232	Multiglomerular mALT lvPN DA2+DC4+VP1m+8 LTS 0.85 57233 GA
57236	Uniglomerular mALT VC5+ lvPN bilateral#R1 (skeleton_id:57236)	neuron	female organism|adult brain	catmaid_fafb:57236	Uniglomerular mALT VC5+ lvPN bilateral 57237 LK ECM
57258	Multiglomerular mALT adPN#R1 (skeleton_id:57258)	neuron	female organism|adult brain	catmaid_fafb:57258	Multiglomerular mALT adPN VL2p+VM4+DP1l+5 LTS 0.92 polyL 57259 LK
57270	Multiglomerular mALT adPN#R2 (skeleton_id:57270)	neuron	female organism|adult brain	catmaid_fafb:57270	Multiglomerular mALT adPN VC3m+VM4+VC3l+1 LTS 0.95 polyL 57271 LK
57278	Multiglomerular mALT adPN#R4 (skeleton_id:57278)	neuron	female organism|adult brain	catmaid_fafb:57278	Multiglomerular mALT adPN VC3l+VM4+VC3m+8 LTS 0.84 polyL 57279 IJA
57389	Multiglomerular mALT lPN#R5 (skeleton_id:57389)	neuron	female organism|adult brain	catmaid_fafb:57389	Multiglomerular mALT lPN VL1+VM7v+VA5+6 LTS 0.86 57390 IJA
57394	Multiglomerular mALT lPN#R10 (skeleton_id:57394)	neuron	female organism|adult brain	catmaid_fafb:57394	Multiglomerular mALT lPN VA7l+DA4l+VL1+9 LTS 0.89 57395 IJA
57430	Multiglomerular mALT lPN bilateral#R3 (skeleton_id:57430)	neuron	female organism|adult brain	catmaid_fafb:57430	Multiglomerular mALT lPN VP2+VL1+VP3+2 LTS 0.94 bilateral 57431 IJA ECM
57434	Multiglomerular mALT lPN bilateral#R2 (skeleton_id:57434)	neuron	female organism|adult brain	catmaid_fafb:57434	Multiglomerular mALT lPN VP2+VP5+VP3+4 LTS 0.92 bilateral 57435 LK
57442	Multiglomerular mALT lPN#R7 (skeleton_id:57442)	neuron	female organism|adult brain	catmaid_fafb:57442	Multiglomerular mALT lPN VP1l+DC4+DL5+8 LTS 0.86 57443 IJA
57446	Multiglomerular mALT lPN#R3 (skeleton_id:57446)	neuron	female organism|adult brain	catmaid_fafb:57446	Multiglomerular mALT lPN VP1d+VC1+VM7v+10 LTS 0.85 57447 NS NM 
57450	Multiglomerular mALT lPN#R11 (skeleton_id:57450)	neuron	female organism|adult brain	catmaid_fafb:57450	Multiglomerular mALT lPN VL1+VA7l+DA2+7 LTS 0.91 57451 LK
57455	Multiglomerular mALT lPN#R12 (skeleton_id:57455)	neuron	female organism|adult brain	catmaid_fafb:57455	Multiglomerular mALT lPN VA7l+VA7m+DC2+5 LTS 0.92 57456 LK
57459	Uniglomerular mALT DL3 lPN#R3 (skeleton_id:57459)	neuron	female organism|adult brain	catmaid_fafb:57459	Uniglomerular mALT DL3 lPN 57460 LK
