object	relation	subject_external_id	subject_external_db	pub
peripheral nervous system	overlaps	2219	catmaid_fanc	
adult ventral nerve cord	overlaps	2219	catmaid_fanc	
right side of organism	has soma location	2231	catmaid_fanc	
adult dorsal prothoracic nerve	fasciculates_with	2231	catmaid_fanc	
peripheral nervous system	overlaps	2231	catmaid_fanc	
adult ventral nerve cord	overlaps	2231	catmaid_fanc	
right side of organism	has soma location	2235	catmaid_fanc	
adult dorsal prothoracic nerve	fasciculates_with	2235	catmaid_fanc	
peripheral nervous system	overlaps	2235	catmaid_fanc	
adult ventral nerve cord	overlaps	2235	catmaid_fanc	
left side of organism	has soma location	2713	catmaid_fanc	
peripheral nervous system	overlaps	2713	catmaid_fanc	
adult ventral nerve cord	overlaps	2713	catmaid_fanc	
right side of organism	has soma location	3005	catmaid_fanc	
adult dorsal prothoracic nerve	fasciculates_with	3005	catmaid_fanc	
peripheral nervous system	overlaps	3005	catmaid_fanc	
adult ventral nerve cord	overlaps	3005	catmaid_fanc	
right side of organism	has soma location	3039	catmaid_fanc	
peripheral nervous system	overlaps	3039	catmaid_fanc	
adult ventral nerve cord	overlaps	3039	catmaid_fanc	
right side of organism	has soma location	3787	catmaid_fanc	
adult dorsal prothoracic nerve	fasciculates_with	3787	catmaid_fanc	
peripheral nervous system	overlaps	3787	catmaid_fanc	
adult ventral nerve cord	overlaps	3787	catmaid_fanc	
right side of organism	has soma location	3792	catmaid_fanc	
adult dorsal prothoracic nerve	fasciculates_with	3792	catmaid_fanc	
peripheral nervous system	overlaps	3792	catmaid_fanc	
adult ventral nerve cord	overlaps	3792	catmaid_fanc	
right side of organism	has soma location	3802	catmaid_fanc	
adult dorsal prothoracic nerve	fasciculates_with	3802	catmaid_fanc	
peripheral nervous system	overlaps	3802	catmaid_fanc	
adult ventral nerve cord	overlaps	3802	catmaid_fanc	
right side of organism	has soma location	3807	catmaid_fanc	
adult ventral prothoracic nerve	fasciculates_with	3807	catmaid_fanc	
peripheral nervous system	overlaps	3807	catmaid_fanc	
adult ventral nerve cord	overlaps	3807	catmaid_fanc	
right side of organism	has soma location	3817	catmaid_fanc	
adult dorsal prothoracic nerve	fasciculates_with	3817	catmaid_fanc	
peripheral nervous system	overlaps	3817	catmaid_fanc	
adult ventral nerve cord	overlaps	3817	catmaid_fanc	
right side of organism	has soma location	3822	catmaid_fanc	
peripheral nervous system	overlaps	3822	catmaid_fanc	
adult ventral nerve cord	overlaps	3822	catmaid_fanc	
right side of organism	has soma location	3832	catmaid_fanc	
peripheral nervous system	overlaps	3832	catmaid_fanc	
adult ventral nerve cord	overlaps	3832	catmaid_fanc	
right side of organism	has soma location	3837	catmaid_fanc	
peripheral nervous system	overlaps	3837	catmaid_fanc	
adult ventral nerve cord	overlaps	3837	catmaid_fanc	
right side of organism	overlaps	6105	catmaid_fanc	
peripheral nervous system	overlaps	6105	catmaid_fanc	
adult ventral nerve cord	overlaps	6105	catmaid_fanc	
left side of organism	overlaps	6121	catmaid_fanc	
peripheral nervous system	overlaps	6121	catmaid_fanc	
adult ventral nerve cord	overlaps	6121	catmaid_fanc	
right side of organism	has soma location	6653	catmaid_fanc	
adult ventral prothoracic nerve	fasciculates_with	6653	catmaid_fanc	
peripheral nervous system	overlaps	6653	catmaid_fanc	
adult ventral nerve cord	overlaps	6653	catmaid_fanc	
right side of organism	has soma location	6717	catmaid_fanc	
peripheral nervous system	overlaps	6717	catmaid_fanc	
adult ventral nerve cord	overlaps	6717	catmaid_fanc	
right side of organism	has soma location	8564	catmaid_fanc	
adult ventral prothoracic nerve	fasciculates_with	8564	catmaid_fanc	
peripheral nervous system	overlaps	8564	catmaid_fanc	
adult ventral nerve cord	overlaps	8564	catmaid_fanc	
left side of organism	has soma location	8991	catmaid_fanc	
peripheral nervous system	overlaps	8991	catmaid_fanc	
adult ventral nerve cord	overlaps	8991	catmaid_fanc	
left side of organism	has soma location	8995	catmaid_fanc	
peripheral nervous system	overlaps	8995	catmaid_fanc	
adult ventral nerve cord	overlaps	8995	catmaid_fanc	
left side of organism	has soma location	9000	catmaid_fanc	
peripheral nervous system	overlaps	9000	catmaid_fanc	
adult ventral nerve cord	overlaps	9000	catmaid_fanc	
left side of organism	has soma location	9004	catmaid_fanc	
peripheral nervous system	overlaps	9004	catmaid_fanc	
adult ventral nerve cord	overlaps	9004	catmaid_fanc	
left side of organism	has soma location	9008	catmaid_fanc	
peripheral nervous system	overlaps	9008	catmaid_fanc	
