source_id	VFB_id	label	parent_classes	name_in_banc	name_in_flywire_fafb	name_in_hemibrain	name_in_male-cns	name_in_manc	name_in_neuprint_optic_lobe
12204694	VFB_001001i1	DPMpm1 ppFB 1 - Right (L1EM:12204694)	['DPMpm1 lineage neuron']						
12618333	VFB_001001j6	BLAl s 3 Right (L1EM:12618333)	['BLAl1 lineage neuron']						
17360266	VFB_00102fem	DALv1 contralateral 4 left (L1EM:17360266)	['DALv1 lineage neuron']						
16742642	VFB_00102faq	DPLam hook left (L1EM:16742642)	['DPLam lineage neuron']						
16950736	VFB_001001sc	DALd s 1 Right (L1EM:16950736)	['DALd lineage neuron']						
14547001	VFB_001001o0	CM4 s GC 2 Right (L1EM:14547001)	['CM4 lineage neuron']						
13556524	VFB_001001ku	DPMm1 desc s lat 1 Right (L1EM:13556524)	['DPMm1 lineage neuron']						
11876076	VFB_00102ez6	BAlp4 ascending 2 left (L1EM:11876076)	['BAlp4 lineage neuron']						
12530013	VFB_001001ix	CM4 s ppFB 1 Left (L1EM:12530013)	['CM4 lineage neuron']						
5734134	VFB_00102emn	BAmd1 bilateral right (L1EM:5734134)	['BAmd1 lineage neuron']						
9954547	VFB_001001gc	CM4 s dor pos com 1 Left (L1EM:9954547)	['CM4 lineage neuron']						
7422253	VFB_00102ep3	DPLam Talon 1 right; DALl1 4 (L1EM:7422253)	['DPLam lineage neuron']						
11081239	VFB_00102exp	AF: DPLal BPL-to-medial_right (L1EM:11081239)	['DPLal1 lineage neuron']						
15607335	VFB_00102f5k	DALl1 bilateral 1 right (L1EM:15607335)	['DALl1 lineage neuron']						
19701236	VFB_0010021o	BLAl s 3 Left (L1EM:19701236)	['BLAl1 lineage neuron']						
2964760	VFB_00102eif	DPLd C neuron left (L1EM:2964760)	['DPLd lineage neuron']						
17729110	VFB_00102fha	BLAvm bilateral neuron 5 left (L1EM:17729110)	['BLAvm lineage neuron']						
14762026	VFB_00102f3u	DALl1 11 right (L1EM:14762026)	['DALl1 lineage neuron']						
19389324	VFB_0010020h	DPLd s 3 Left (L1EM:19389324)	['DPLd lineage neuron']						
16399845	VFB_00102f8i	BLAvm bilateral neuron 5 right (L1EM:16399845)	['BLAvm lineage neuron']						
17358864	VFB_00102fe4	BAmd2 contralateral descending 2 left (L1EM:17358864)	['BAmd2 lineage neuron']						
17193070	VFB_001001su	CP1v a s 1 Left (L1EM:17193070)	['CP1 lineage neuron']						
19359257	VFB_001001zq	BAlv s 1 Left (L1EM:19359257)	['BAlv lineage neuron']						
16851496	VFB_00102fax	DALd LAL output neuron 1 left (L1EM:16851496)	['DALd lineage neuron']						
