object	relation	subject_external_id	subject_external_db	pub
adult prothoracic leg nerve	fasciculates_with	9008	fanc1	
peripheral nervous system	overlaps	9008	fanc1	
adult ventral nerve cord	overlaps	9008	fanc1	
left side of organism	has soma location	9012	fanc1	
adult prothoracic leg nerve	fasciculates_with	9012	fanc1	
peripheral nervous system	overlaps	9012	fanc1	
adult ventral nerve cord	overlaps	9012	fanc1	
left side of organism	overlaps	9016	fanc1	
adult prothoracic leg nerve	fasciculates_with	9016	fanc1	
peripheral nervous system	overlaps	9016	fanc1	
adult ventral nerve cord	overlaps	9016	fanc1	
left side of organism	overlaps	9020	fanc1	
adult prothoracic leg nerve	fasciculates_with	9020	fanc1	
peripheral nervous system	overlaps	9020	fanc1	
adult ventral nerve cord	overlaps	9020	fanc1	
left side of organism	has soma location	9024	fanc1	
adult prothoracic leg nerve	fasciculates_with	9024	fanc1	
peripheral nervous system	overlaps	9024	fanc1	
adult ventral nerve cord	overlaps	9024	fanc1	
left side of organism	has soma location	9028	fanc1	
adult prothoracic leg nerve	fasciculates_with	9028	fanc1	
peripheral nervous system	overlaps	9028	fanc1	
adult ventral nerve cord	overlaps	9028	fanc1	
left side of organism	has soma location	9170	fanc1	
adult prothoracic leg nerve	fasciculates_with	9170	fanc1	
peripheral nervous system	overlaps	9170	fanc1	
adult ventral nerve cord	overlaps	9170	fanc1	
left side of organism	has soma location	9174	fanc1	
adult prothoracic leg nerve	fasciculates_with	9174	fanc1	
peripheral nervous system	overlaps	9174	fanc1	
adult ventral nerve cord	overlaps	9174	fanc1	
left side of organism	has soma location	9186	fanc1	
adult prothoracic leg nerve	fasciculates_with	9186	fanc1	
peripheral nervous system	overlaps	9186	fanc1	
adult ventral nerve cord	overlaps	9186	fanc1	
left side of organism	has soma location	9190	fanc1	
adult prothoracic leg nerve	fasciculates_with	9190	fanc1	
peripheral nervous system	overlaps	9190	fanc1	
adult ventral nerve cord	overlaps	9190	fanc1	
left side of organism	has soma location	9194	fanc1	
adult prothoracic leg nerve	fasciculates_with	9194	fanc1	
peripheral nervous system	overlaps	9194	fanc1	
adult ventral nerve cord	overlaps	9194	fanc1	
left side of organism	overlaps	9202	fanc1	
adult prothoracic leg nerve	fasciculates_with	9202	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9202	fanc1	
adult ventral prothoracic nerve	fasciculates_with	9202	fanc1	
peripheral nervous system	overlaps	9202	fanc1	
adult ventral nerve cord	overlaps	9202	fanc1	
left side of organism	has soma location	9206	fanc1	
adult prothoracic leg nerve	fasciculates_with	9206	fanc1	
peripheral nervous system	overlaps	9206	fanc1	
adult ventral nerve cord	overlaps	9206	fanc1	
left side of organism	has soma location	9210	fanc1	
adult prothoracic leg nerve	fasciculates_with	9210	fanc1	
peripheral nervous system	overlaps	9210	fanc1	
adult ventral nerve cord	overlaps	9210	fanc1	
left side of organism	overlaps	9476	fanc1	
adult prothoracic leg nerve	fasciculates_with	9476	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9476	fanc1	
peripheral nervous system	overlaps	9476	fanc1	
adult ventral nerve cord	overlaps	9476	fanc1	
left side of organism	overlaps	9493	fanc1	
right side of organism	overlaps	9493	fanc1	
adult cervical nerve	fasciculates_with	9493	fanc1	
adult cervical nerve	fasciculates_with	9493	fanc1	
peripheral nervous system	overlaps	9493	fanc1	
adult ventral nerve cord	overlaps	9493	fanc1	
left side of organism	has soma location	9551	fanc1	
adult prothoracic leg nerve	fasciculates_with	9551	fanc1	
peripheral nervous system	overlaps	9551	fanc1	
adult ventral nerve cord	overlaps	9551	fanc1	
left side of organism	has soma location	9556	fanc1	
adult prothoracic leg nerve	fasciculates_with	9556	fanc1	
peripheral nervous system	overlaps	9556	fanc1	
adult ventral nerve cord	overlaps	9556	fanc1	
left side of organism	has soma location	9629	fanc1	
adult prothoracic leg nerve	fasciculates_with	9629	fanc1	
peripheral nervous system	overlaps	9629	fanc1	
adult ventral nerve cord	overlaps	9629	fanc1	
left side of organism	has soma location	9686	fanc1	
adult prothoracic leg nerve	fasciculates_with	9686	fanc1	
peripheral nervous system	overlaps	9686	fanc1	
adult ventral nerve cord	overlaps	9686	fanc1	
left side of organism	has soma location	9708	fanc1	
adult prothoracic leg nerve	fasciculates_with	9708	fanc1	
peripheral nervous system	overlaps	9708	fanc1	
adult ventral nerve cord	overlaps	9708	fanc1	
left side of organism	has soma location	9745	fanc1	
adult prothoracic leg nerve	fasciculates_with	9745	fanc1	
peripheral nervous system	overlaps	9745	fanc1	
adult ventral nerve cord	overlaps	9745	fanc1	
left side of organism	has soma location	9754	fanc1	
adult prothoracic accessory nerve	fasciculates_with	9754	fanc1	
peripheral nervous system	overlaps	9754	fanc1	
adult ventral nerve cord	overlaps	9754	fanc1	
