FBbt_id	FBbt_label	new_labels	count	existing_labels
FBbt:00050254	adult DM4 lineage neuron	secondary_neuron	61	
FBbt:00050257	adult LHl3 lineage neuron	secondary_neuron	6	
FBbt:00050260	adult VLPl4 lineage neuron	secondary_neuron	83	
FBbt:00050269	adult SLPal2 lineage neuron	secondary_neuron	15	
FBbt:00050275	adult CREa2 lineage neuron	secondary_neuron	352	
FBbt:00050281	adult LHa3 lineage neuron	secondary_neuron	13	
FBbt:00051089	adult LBL40 neuron of ventral nerve cord	primary_neuron	2	
FBbt:00051127	adult prothoracic LUL130 neuron	primary_neuron	2	
FBbt:00051145	adult mesothoracic LUL130 neuron	primary_neuron	2	
FBbt:00051162	adult metathoracic LUL130 neuron	primary_neuron	2	
FBbt:00051504	larval nociceptive projection neuron	primary_neuron	8	
FBbt:00051964	adult efferent neuron	secondary_neuron	3	
FBbt:00051967	neck muscle motor neuron of VNC	primary_neuron	12	
FBbt:00051967	neck muscle motor neuron of VNC	secondary_neuron	2	
FBbt:00052012	adult octopaminergic neuron of abdominal ganglion	primary_neuron	16	
FBbt:00052012	adult octopaminergic neuron of abdominal ganglion	secondary_neuron	4	
FBbt:00052032	gnathal ganglion neuron	primary_neuron	105	
FBbt:00052346	adult octopaminergic and glutamatergic neuron	secondary_neuron	3	
FBbt:00052346	adult octopaminergic and glutamatergic neuron	primary_neuron	19	
FBbt:00052358	adult mesothoracic histaminergic neuron	primary_neuron	4	
FBbt:00052359	adult metathoracic histaminergic neuron	primary_neuron	2	
FBbt:00052534	adult mandibular octopaminergic VM neuron	primary_neuron	1	
FBbt:00052535	adult maxillary octopaminergic VM neuron	primary_neuron	1	
FBbt:00052599	prothoracic tibial pretarsal depressor muscle motor neuron	primary_neuron	2	
FBbt:00052608	larval mechanosensory projection neuron	primary_neuron	2	
FBbt:00052614	larval external gustatory projection neuron	primary_neuron	2	
FBbt:00052619	larval chordotonal projection neuron	primary_neuron	6	
FBbt:00052622	larval warm cell thermosensory projection neuron	primary_neuron	2	
FBbt:00052725	wing basalar muscle b3 motor neuron	primary_neuron	2	
FBbt:00052728	wing axillary muscle hg4 motor neuron	primary_neuron	2	
FBbt:00052747	haltere axillary muscle III2 motor neuron	primary_neuron	2	
FBbt:00052750	adult VNC ventral unpaired median neuron	primary_neuron	15	
FBbt:00052751	adult mesothoracic ventral unpaired median neuron	primary_neuron	4	
FBbt:00052752	adult mesothoracic VUM neuron 1	primary_neuron	1	
FBbt:00052753	adult mesothoracic VUM neuron 2	primary_neuron	3	
FBbt:00052755	adult mesothoracic VUM neuron 4	primary_neuron	1	
FBbt:00053045	adult fruitless vMS11 neuron	secondary_neuron	15	
FBbt:00053046	adult fruitless vMS12 neuron	secondary_neuron	8	
FBbt:00053050	adult fruitless vMS13 neuron	secondary_neuron	2	
FBbt:00053053	adult fruitless vPR13 neuron	secondary_neuron	17	
FBbt:00053058	satellite tergotrochanter muscle motor neuron	primary_neuron	2	
FBbt:00053060	pretarsal depressor muscle motor neuron	secondary_neuron	16	
FBbt:00053079	contralaterally projecting haltere interneuron	primary_neuron	8	
FBbt:00053079	contralaterally projecting haltere interneuron	secondary_neuron	8	
FBbt:00053080	wing contralaterally projecting haltere interneuron	primary_neuron	10	
FBbt:00053081	neck contralaterally projecting haltere interneuron	primary_neuron	4	
FBbt:00053083	wing projection neuron 1	primary_neuron	2	
FBbt:00053100	motor neuron of adult dorsal prothoracic nerve	secondary_neuron	2	
FBbt:00053101	prothoracic sternal anterior rotator muscle motor neuron	primary_neuron	4	
FBbt:00053102	prothoracic sternal adductor muscle motor neuron	secondary_neuron	2	
FBbt:00053103	prothoracic sternal posterior rotator muscle motor neuron	primary_neuron	4	
FBbt:00053108	prothoracic sternotrochanter extensor muscle motor neuron	primary_neuron	2	secondary_neuron
FBbt:00053117	prothoracic femoral reductor muscle motor neuron	secondary_neuron	10	
FBbt:00053118	mesothoracic femoral reductor muscle motor neuron	secondary_neuron	6	
FBbt:00053119	metathoracic femoral reductor muscle motor neuron	secondary_neuron	4	
FBbt:00053121	prothoracic tibial levator muscle motor neuron	primary_neuron	4	
FBbt:00053122	mesothoracic tibial levator muscle motor neuron	primary_neuron	4	
FBbt:00053123	metathoracic tibial levator muscle motor neuron	primary_neuron	4	
FBbt:00053130	prothoracic tibial depressor motor neuron	secondary_neuron	22	
FBbt:00053131	mesothoracic tibial depressor motor neuron	secondary_neuron	15	
FBbt:00053132	metathoracic tibial depressor motor neuron	secondary_neuron	15	
FBbt:00053145	mesothoracic tibial pretarsal depressor muscle motor neuron	primary_neuron	2	
FBbt:00053146	metathoracic tibial pretarsal depressor muscle motor neuron	primary_neuron	2	
FBbt:00053153	mesothoracic extracoxal trochanter depressor muscle motor neuron	secondary_neuron	3	
FBbt:00053155	metathoracic sternotrochanter extensor muscle motor neuron	primary_neuron	4	
FBbt:00053155	metathoracic sternotrochanter extensor muscle motor neuron	secondary_neuron	13	
FBbt:00053156	metathoracic tergotrochanter extensor muscle motor neuron	secondary_neuron	10	
FBbt:00053157	prothoracic intracoxal trochanter depressor muscle motor neuron	primary_neuron	2	
FBbt:00053158	mesothoracic intracoxal trochanter depressor muscle motor neuron	primary_neuron	2	
FBbt:00053159	metathoracic intracoxal trochanter depressor muscle motor neuron	primary_neuron	2	
FBbt:00053160	prothoracic intracoxal trochanter levator muscle motor neuron	secondary_neuron	16	
FBbt:00053161	mesothoracic intracoxal trochanter levator muscle motor neuron	secondary_neuron	14	
FBbt:00053162	metathoracic intracoxal trochanter levator muscle motor neuron	secondary_neuron	12	
FBbt:00053235	adult prothoracic ventral unpaired median neuron	primary_neuron	2	
FBbt:00053236	adult metathoracic ventral unpaired median neuron	primary_neuron	3	
FBbt:00053602	DPLpv anterior hemilineage neuron	secondary_neuron	16	
FBbt:00053604	BLD5 lateral hemilineage neuron	secondary_neuron	192	
FBbt:00053605	BLD5 medial hemilineage neuron	secondary_neuron	18	
FBbt:00053610	DPLal2 dorsal hemilineage neuron	secondary_neuron	221	
FBbt:00053613	DPLl2 posterior hemilineage neuron	secondary_neuron	30	
FBbt:00053615	DPLl3 posterior hemilineage neuron	secondary_neuron	1	
FBbt:00053616	DPLp2 anterior hemilineage neuron	secondary_neuron	98	
FBbt:00053623	BLAd2 ventral hemilineage neuron	secondary_neuron	16	
FBbt:00053625	BLAl1 medial hemilineage neuron	secondary_neuron	12	
FBbt:00053628	BLD1 dorsal hemilineage neuron	secondary_neuron	79	
FBbt:00053631	BLD3 dorsal hemilineage neuron	secondary_neuron	83	
FBbt:00053632	BLP1 posterior hemilineage neuron	secondary_neuron	137	
FBbt:00053634	BLVp1 anterior hemilineage neuron	primary_neuron	8	
FBbt:00053634	BLVp1 anterior hemilineage neuron	secondary_neuron	67	
FBbt:00053635	BLVp1 posterior hemilineage neuron	primary_neuron	1	
FBbt:00058210	adult histaminergic neuron	primary_neuron	4	
FBbt:00058210	adult histaminergic neuron	secondary_neuron	77	
FBbt:00058941	haltere basalar muscle	primary_neuron	4	
FBbt:00059245	adult central brain intrinsic neuron	lineage_TRdm	4	
FBbt:00059245	adult central brain intrinsic neuron	lineage_SMPad2	8	
FBbt:00100248	alpha/beta Kenyon cell	lineage_MBp3	1018	lineage_MBp
FBbt:00100248	alpha/beta Kenyon cell	lineage_MBp4	1070	lineage_MBp
FBbt:00100248	alpha/beta Kenyon cell	lineage_MBp1	1112	lineage_MBp
FBbt:00100248	alpha/beta Kenyon cell	lineage_MBp2	1111	lineage_MBp
FBbt:00100253	alpha'/beta' middle Kenyon cell	lineage_MBp4	146	lineage_MBp
FBbt:00100253	alpha'/beta' middle Kenyon cell	lineage_MBp3	155	lineage_MBp
FBbt:00100253	alpha'/beta' middle Kenyon cell	lineage_MBp1	214	lineage_MBp
FBbt:00100253	alpha'/beta' middle Kenyon cell	lineage_MBp2	190	lineage_MBp
FBbt:00100480	lobula columnar neuron LC9	lineage_VPNd3	537	
FBbt:00100482	lobula columnar neuron LC10	lineage_VPNd2	252	
FBbt:00100483	lobula columnar neuron LC11	lineage_VPNp3	392	
FBbt:00100484	lobula columnar neuron LC12	lineage_VPNv1	1	
FBbt:00100672	TRdl lineage neuron	primary_neuron	20	lineage_TRdl
FBbt:00110856	adult fruitless dPR1 neuron	primary_neuron	2	
FBbt:00110860	adult fruitless vPR6 (male) neuron	secondary_neuron	7	
FBbt:00110931	alpha/beta posterior Kenyon cell	lineage_MBp3	75	lineage_MBp
FBbt:00110931	alpha/beta posterior Kenyon cell	lineage_MBp2	89	lineage_MBp
FBbt:00110931	alpha/beta posterior Kenyon cell	lineage_MBp1	88	lineage_MBp
FBbt:00110931	alpha/beta posterior Kenyon cell	lineage_MBp4	81	lineage_MBp
FBbt:00110932	gamma dorsal Kenyon cell	lineage_MBp4	196	lineage_MBp
FBbt:00110932	gamma dorsal Kenyon cell	lineage_MBp2	131	lineage_MBp
FBbt:00110932	gamma dorsal Kenyon cell	lineage_MBp3	180	lineage_MBp
FBbt:00110932	gamma dorsal Kenyon cell	lineage_MBp1	126	lineage_MBp
FBbt:00110964	adult serotonergic T3 neuron	secondary_neuron	1	
FBbt:00110964	adult serotonergic T3 neuron	primary_neuron	4	
FBbt:00110967	adult serotonergic T2 neuron	secondary_neuron	6	
FBbt:00110967	adult serotonergic T2 neuron	primary_neuron	5	
FBbt:00110970	adult serotonergic T1 neuron	primary_neuron	8	
FBbt:00110970	adult serotonergic T1 neuron	secondary_neuron	6	
FBbt:00111061	gamma main Kenyon cell	lineage_MBp3	1049	lineage_MBp
FBbt:00111061	gamma main Kenyon cell	lineage_MBp2	1188	lineage_MBp
FBbt:00111061	gamma main Kenyon cell	lineage_MBp1	1257	lineage_MBp
FBbt:00111061	gamma main Kenyon cell	lineage_MBp4	1301	lineage_MBp
FBbt:00111095	adult fruitless dMS2 neuron	secondary_neuron	9	
FBbt:00111101	adult fruitless dMS5 neuron	primary_neuron	2	
FBbt:00111141	adult fruitless vPR7 neuron	secondary_neuron	26	
FBbt:00111145	adult fruitless vPR9 neuron	secondary_neuron	9	
FBbt:00111745	lobula columnar neuron LC10b	lineage_VPNd2	218	
FBbt:00111746	lobula columnar neuron LC10c	lineage_VPNd2	567	
FBbt:00111747	lobula columnar neuron LC10a	lineage_VPNd2	675	
FBbt:00111748	lobula columnar neuron LC10d	lineage_VPNd2	530	
FBbt:00111751	lobula columnar neuron LC16	lineage_VPNv2	510	
FBbt:00111752	lobula columnar neuron LC17	lineage_VPNv1	946	
FBbt:00111753	lobula columnar neuron LC18	lineage_VPNp2	557	
FBbt:00111756	lobula columnar neuron LC21	lineage_VPNp3	368	
FBbt:20000745	adult clamp neuron 040	lineage_SMPad2	8	
FBbt:20001758	adult posterior slope neuron 003	lineage_SMPad2	8	
FBbt:20002832	adult superior lateral protocerebrum neuron 438	lineage_SLPpm4	4	
FBbt:20002923	adult superior medial protocerebrum neuron 061	lineage_SMPad2	10	
FBbt:20002925	adult superior medial protocerebrum neuron 063	lineage_SMPad2	9	
FBbt:20002926	adult superior medial protocerebrum neuron 064	lineage_SMPad2	2	
FBbt:20002934	adult superior medial protocerebrum neuron 072	lineage_SMPad2	1	
FBbt:20002936	adult superior medial protocerebrum neuron 074	lineage_SMPad2	2	
FBbt:20002956	adult superior medial protocerebrum neuron 094	lineage_SMPad1	4	
FBbt:20002960	adult superior medial protocerebrum neuron 098	lineage_SMPad1	6	
FBbt:20002966	adult superior medial protocerebrum neuron 104	lineage_SMPad1	27	
FBbt:20002967	adult superior medial protocerebrum neuron 105	lineage_SMPad1	38	
FBbt:20002969	adult superior medial protocerebrum neuron 107	lineage_SMPad1	16	
FBbt:20003464	adult superior medial protocerebrum neuron 602	lineage_SMPad1	2	
FBbt:20003959	adult CB0117 neuron	lineage_TRdl	2	primary_neuron
FBbt:20004057	adult CB0246 neuron	lineage_TRdl	2	primary_neuron
FBbt:20004058	adult CB0247 neuron	lineage_TRdl	2	primary_neuron
FBbt:20004116	adult CB0323 neuron	lineage_TRdl	2	primary_neuron
FBbt:20004120	adult CB0328 neuron	lineage_TRdl	2	
FBbt:20004267	adult CB0512 neuron	lineage_TRdl	2	primary_neuron
FBbt:20004296	adult CB0546 neuron	lineage_TRdl	2	primary_neuron
FBbt:20004308	adult CB0560 neuron	lineage_TRdl	2	primary_neuron
FBbt:20004456	adult CB0736 neuron	lineage_TRdl	2	primary_neuron
FBbt:20004578	adult CB0883 neuron	lineage_TRdl	2	primary_neuron
FBbt:20004595	adult CB0902 neuron	lineage_TRdl	2	primary_neuron
FBbt:20004600	adult CB0907 neuron	lineage_TRdl	2	
FBbt:20005425	adult CB1822 neuron	lineage_TRdl	6	
FBbt:20006722	adult WEDPN8B neuron	secondary_neuron	2	
FBbt:20007080	adult CB3645 neuron	lineage_TRdl	2	
FBbt:20007801	adult AN06B023 neuron	primary_neuron	2	
FBbt:20007872	adult AN08B018 neuron	primary_neuron	4	
FBbt:20007882	adult AN08B034 neuron	primary_neuron	2	
FBbt:20008482	adult IN00A007 neuron	primary_neuron	1	
FBbt:20008484	adult IN00A009 neuron	primary_neuron	2	
FBbt:20008494	adult IN00A020 neuron	secondary_neuron	4	
FBbt:20008494	adult IN00A020 neuron	primary_neuron	1	
FBbt:20009237	adult IN06B013 neuron	primary_neuron	2	
FBbt:20009241	adult IN06B017 neuron	primary_neuron	2	
FBbt:20009241	adult IN06B017 neuron	secondary_neuron	6	
FBbt:20009304	adult IN07B012 neuron	primary_neuron	2	
FBbt:20009648	adult IN11B004 neuron	secondary_neuron	8	
FBbt:20009648	adult IN11B004 neuron	primary_neuron	2	
FBbt:20009803	adult IN13A014 neuron	secondary_neuron	2	
FBbt:20009803	adult IN13A014 neuron	primary_neuron	6	
FBbt:20010916	adult INXXX204 neuron	primary_neuron	2	
FBbt:20010916	adult INXXX204 neuron	secondary_neuron	2	
FBbt:20011254	adult SNpp42 neuron	secondary_neuron	1	
FBbt:20011437	adult lobula visual projection neuron LoVP76	lineage_VPNd2	10	
