skid	name	paper_id	paper_name	synonyms	FBbt_ID
11841664	MB2ON-130	21308444	Eschbach, Fushiki et al. 2020b	BL 3 ; CM13 lat 2_left|MB2IN-131	
11908619	MB2ON-34	21308444	Eschbach, Fushiki et al. 2020b	DALcl12 v d 5 Left	
12138418	CN-15	21308444	Eschbach, Fushiki et al. 2020b	CD ; Key_left|MB2ON-93	
12299621	CN-17	21308444	Eschbach, Fushiki et al. 2020b	AV ; DPLc ant lat 1_left|MB2IN-127|MB2ON-97	
12476851	CN-1	21308444	Eschbach, Fushiki et al. 2020b	TR ; Down_pvl09_left|MB2ON-109	
12498338	CN-50	21308444	Eschbach, Fushiki et al. 2020b	Projection from LH 1_left|MB2ON-47|LH-18|LHN-14	
12587013	CN-39	21308444	Eschbach, Fushiki et al. 2020b	scythe left|MB2ON-254	
12598741	MB2IN-211	21308444	Eschbach, Fushiki et al. 2020b	CP1 v 5; left|MB2ON-237	
12789813	MB2ON-17	21308444	Eschbach, Fushiki et al. 2020b	Tomato Vine_left	
12839441	CN-54	21308444	Eschbach, Fushiki et al. 2020b	LH bilateral axon 5_left|MB2ON-107|LH-12|LHN-18	
12840470	LHN-7	21308444	Eschbach, Fushiki et al. 2020b	U1: WB_DPMpl1_left|MB2ON-180|LH-25	
12866697	MB2ON-92	21308444	Eschbach, Fushiki et al. 2020b	CC ; DPLm post 1_left	
12868041	CN-35	21308444	Eschbach, Fushiki et al. 2020b	JI_left|MB2ON-103	
12869029	MB2ON-42	21308444	Eschbach, Fushiki et al. 2020b	IL; DAMd23_left	
12935696	MB2ON-234	21308444	Eschbach, Fushiki et al. 2020b	BZ ; CM4 dor pos 2 right	
12962772	MB2IN-213	21308444	Eschbach, Fushiki et al. 2020b	BS; CM4 dor ant 1 DNs_right |MB2ON-74	
13046847	MB2ON-156	21308444	Eschbach, Fushiki et al. 2020b	DPLm ant lat 1_right|MB2IN-136	
13175136	MB2ON-154	21308444	Eschbach, Fushiki et al. 2020b	Sneezy_right	
13206239	LHN-3	21308444	Eschbach, Fushiki et al. 2020b	Bridge II_left|MB2IN-147|LH-6|MB2ON-269	
13564607	MB2ON-37	21308444	Eschbach, Fushiki et al. 2020b	DPMm1_1_right - ipsi cross-layer CC	
13661736	MB2ON-139	21308444	Eschbach, Fushiki et al. 2020b	WD_left	
13665529	MB2ON-231	21308444	Eschbach, Fushiki et al. 2020b	Bonsai right	
13674287	MB2ON-138	21308444	Eschbach, Fushiki et al. 2020b	AP ;  BAla34 dor 2_right|MB2IN-134	
13718916	MB2ON-114	21308444	Eschbach, Fushiki et al. 2020b	DALcl12 v d 2 left	
13764822	MB2ON-62	21308444	Eschbach, Fushiki et al. 2020b	BSD; BAmd2 ven desc lat 5_right - AXON WRONG	
13806524	MB2ON-52	21308444	Eschbach, Fushiki et al. 2020b	NQ: BAla12_right	
13836327	MB2ON-60	21308444	Eschbach, Fushiki et al. 2020b	BO ; BAmd2 ven desc 7_right	
13858797	CN-45	21308444	Eschbach, Fushiki et al. 2020b	Oval 42a_right|MB2ON-118|LH-16|LHN-9	
13953356	MB2ON-42	21308444	Eschbach, Fushiki et al. 2020b	IL; DAMd23_right	
13953546	MB2ON-25	21308444	Eschbach, Fushiki et al. 2020b	Crab Arm DAMd23_right	
13986477	LHN-5	21308444	Eschbach, Fushiki et al. 2020b	I? ; Smash's forgotten ugly cousin_possible PVL005 - 3 Right_sibling|LH-29	
