filename	label	is_a	part_of	comment	dbxrefs	synonyms
57323	Uniglomerular mALT DA1 lPN#R1 (FAFB:57323)	neuron	female organism|adult brain	Uniglomerular mALT DA1 lPN#R1, FBbt:00067363	catmaid_fafb:57323	
57333	Uniglomerular mALT DL2d adPN#R1 (FAFB:57333)	neuron	female organism|adult brain	Uniglomerular mALT DL2d adPN#R1, FBbt:00100389	catmaid_fafb:57333	
57337	Uniglomerular mALT DL2d adPN#R2 (FAFB:57337)	neuron	female organism|adult brain	Uniglomerular mALT DL2d adPN#R2, FBbt:00100389	catmaid_fafb:57337	
57341	Uniglomerular mALT DL2d adPN#R4 (FAFB:57341)	neuron	female organism|adult brain	Uniglomerular mALT DL2d adPN#R4, FBbt:00100389	catmaid_fafb:57341	
57349	Uniglomerular mALT DA3 adPN#R1 (FAFB:57349)	neuron	female organism|adult brain	Uniglomerular mALT DA3 adPN#R1, FBbt:00100384	catmaid_fafb:57349	
57353	Uniglomerular mALT DA1 lPN#R7 (FAFB:57353)	neuron	female organism|adult brain	Uniglomerular mALT DA1 lPN#R7, FBbt:00067363	catmaid_fafb:57353	
57361	Uniglomerular mALT VA5 lPN#R2 (FAFB:57361)	neuron	female organism|adult brain	Uniglomerular mALT VA5 lPN#R2, FBbt:00067366	catmaid_fafb:57361	
57365	Uniglomerular mALT VA5 lPN#R1 (FAFB:57365)	neuron	female organism|adult brain	Uniglomerular mALT VA5 lPN#R1, FBbt:00067366	catmaid_fafb:57365	
57381	Uniglomerular mALT DA1 lPN#R8 (FAFB:57381)	neuron	female organism|adult brain	Uniglomerular mALT DA1 lPN#R8, FBbt:00067363	catmaid_fafb:57381	
57385	Uniglomerular mALT DM5 lPN#R1 (FAFB:57385)	neuron	female organism|adult brain	Uniglomerular mALT DM5 lPN#R1, FBbt:00067367	catmaid_fafb:57385	
57402	Uniglomerular mALT DC2 adPN#R1 (FAFB:57402)	neuron	female organism|adult brain	Uniglomerular mALT DC2 adPN#R1, FBbt:00067354	catmaid_fafb:57402	
57410	Uniglomerular mALT VA7l adPN#R1 (FAFB:57410)	neuron	female organism|adult brain	Uniglomerular mALT VA7l adPN#R1, FBbt:00007448	catmaid_fafb:57410	
57414	Uniglomerular mALT DC3 adPN#R1 (FAFB:57414)	neuron	female organism|adult brain	Uniglomerular mALT DC3 adPN#R1, FBbt:00040000	catmaid_fafb:57414	
57418	Uniglomerular mALT DA2 lPN#R3 (FAFB:57418)	neuron	female organism|adult brain	Uniglomerular mALT DA2 lPN#R3, FBbt:00110882	catmaid_fafb:57418	
57422	Uniglomerular mALT DA2 lPN#R4 (FAFB:57422)	neuron	female organism|adult brain	Uniglomerular mALT DA2 lPN#R4, FBbt:00110882	catmaid_fafb:57422	
57426	Multiglomerular mALT lPN#R2 (FAFB:57426)	neuron	female organism|adult brain	Multiglomerular mALT lPN#R2	catmaid_fafb:57426	
57499	Uniglomerular mALT VL1 ilPN bilateral#R1 (FAFB:57499)	neuron	female organism|adult brain	Uniglomerular mALT VL1 ilPN bilateral#R1	catmaid_fafb:57499	
57503	Biglomerular VP1m + VP5 mALT ilPN bilateral#R1 (FAFB:57503)	neuron	female organism|adult brain	Biglomerular VP1m + VP5 mALT ilPN bilateral#R1	catmaid_fafb:57503	
57516	Uniglomerular mALT VP2 adPN#R1 (FAFB:57516)	neuron	female organism|adult brain	Uniglomerular mALT VP2 adPN#R1	catmaid_fafb:57516	
58686	Uniglomerular mALT DP1m adPN#R1 (FAFB:58686)	neuron	female organism|adult brain	Uniglomerular mALT DP1m adPN#R1, FBbt:00067021	catmaid_fafb:58686	
59129	Uniglomerular mALT VC3l adPN#R4 (FAFB:59129)	neuron	female organism|adult brain	Uniglomerular mALT VC3l adPN#R4	catmaid_fafb:59129	
60445	MB-C1#2 (FAFB:60445)	neuron	female organism|adult brain	FBbt:00100226, MB-C1#2	catmaid_fafb:60445	
60799	Uniglomerular mALT DM6 adPN#R1 (FAFB:60799)	neuron	female organism|adult brain	Uniglomerular mALT DM6 adPN#R1, FBbt:00067360	catmaid_fafb:60799	
61221	Uniglomerular mALT DA1 lPN#R3 (FAFB:61221)	neuron	female organism|adult brain	Uniglomerular mALT DA1 lPN#R3, FBbt:00067363	catmaid_fafb:61221	
61773	Uniglomerular mALT DL2v adPN#R3 (FAFB:61773)	neuron	female organism|adult brain	Uniglomerular mALT DL2v adPN#R3, FBbt:00100388	catmaid_fafb:61773	
62434	Uniglomerular mALT VM5d adPN#R3 (FAFB:62434)	neuron	female organism|adult brain	Uniglomerular mALT VM5d adPN#R3, FBbt:00100385	catmaid_fafb:62434	
65465	Uniglomerular mALT DA3 adPN#R2 (FAFB:65465)	neuron	female organism|adult brain	Uniglomerular mALT DA3 adPN#R2, FBbt:00100384	catmaid_fafb:65465	
65762	Uniglomerular mALT DC2 adPN#R2 (FAFB:65762)	neuron	female organism|adult brain	Uniglomerular mALT DC2 adPN#R2, FBbt:00067354	catmaid_fafb:65762	
67408	Uniglomerular mALT DM2 lPN#R2 (FAFB:67408)	neuron	female organism|adult brain	Uniglomerular mALT DM2 lPN#R2, FBbt:00067368	catmaid_fafb:67408	
67637	Uniglomerular mALT DL2v adPN#R4 (FAFB:67637)	neuron	female organism|adult brain	Uniglomerular mALT DL2v adPN#R4, FBbt:00100388	catmaid_fafb:67637	
68697	Uniglomerular mALT DM6 adPN#R2 (FAFB:68697)	neuron	female organism|adult brain	Uniglomerular mALT DM6 adPN#R2, FBbt:00067360	catmaid_fafb:68697	
73937	Uniglomerular mALT VL1 ilPN bilateral#L1 (FAFB:73937)	neuron	female organism|adult brain	Uniglomerular mALT VL1 ilPN bilateral#L1	catmaid_fafb:73937	
165303	Uniglomerular mALT VA3 adPN#R2 (FAFB:165303)	neuron	female organism|adult brain	Uniglomerular mALT VA3 adPN#R2, FBbt:00067356	catmaid_fafb:165303	
175032	KC#273-a'b' (FAFB:175032)	neuron	female organism|adult brain	KC#273-a'b', FBbt:00100249	catmaid_fafb:175032	
186573	Uniglomerular mALT VA7m lPN#R1 (FAFB:186573)	neuron	female organism|adult brain	Uniglomerular mALT VA7m lPN#R1, FBbt:00067365	catmaid_fafb:186573	
192423	Uniglomerular dALT VP1d il2PN#R1 (FAFB:192423)	neuron	female organism|adult brain	Uniglomerular dALT VP1d il2PN#R1	catmaid_fafb:192423	
192547	Uniglomerular lALT V ilPN bilateral#R1 (FAFB:192547)	neuron	female organism|adult brain	Uniglomerular lALT V ilPN bilateral#R1, FBbt:00003995/FBbt:00049525	catmaid_fafb:192547	
203504	Uniglomerular dALT VP1d il2PN#L1 (FAFB:203504)	neuron	female organism|adult brain	Uniglomerular dALT VP1d il2PN#L1	catmaid_fafb:203504	
203840	APL 203841 MR JSL (FAFB:203840)	neuron	female organism|adult brain	FBbt:00100222, APL 203841 MR JSL	catmaid_fafb:203840	
205947	KC#288-ab (FAFB:205947)	neuron	female organism|adult brain	KC#288-ab, FBbt:00100248	catmaid_fafb:205947	
400943	Uniglomerular mALT VC3m lvPN#R3 (FAFB:400943)	neuron	female organism|adult brain	Uniglomerular mALT VC3m lvPN#R3	catmaid_fafb:400943	
424295	KC#487-ab (FAFB:424295)	neuron	female organism|adult brain	KC#487-ab, FBbt:00100248	catmaid_fafb:424295	
424379	KC#313-ab (FAFB:424379)	neuron	female organism|adult brain	KC#313-ab, FBbt:00100248	catmaid_fafb:424379	
515387	KC#547-ab (FAFB:515387)	neuron	female organism|adult brain	KC#547-ab, FBbt:00100248	catmaid_fafb:515387	
535060	MB-C1#1 (FAFB:535060)	neuron	female organism|adult brain	FBbt:00100226, MB-C1#1	catmaid_fafb:535060	
581536	Uniglomerular mALT DL3 lPN#R1 (FAFB:581536)	neuron	female organism|adult brain	Uniglomerular mALT DL3 lPN#R1, FBbt:00067364	catmaid_fafb:581536	
755022	Uniglomerular mALT DA1 lPN#R4 (FAFB:755022)	neuron	female organism|adult brain	Uniglomerular mALT DA1 lPN#R4, FBbt:00067363	catmaid_fafb:755022	
771242	Uniglomerular mALT DC1 adPN#R1 (FAFB:771242)	neuron	female organism|adult brain	Uniglomerular mALT DC1 adPN#R1, FBbt:00067014	catmaid_fafb:771242	
775731	Uniglomerular mALT VM1 lPN#R2 (FAFB:775731)	neuron	female organism|adult brain	Uniglomerular mALT VM1 lPN#R2, FBbt:00007452	catmaid_fafb:775731	
1149173	Uniglomerular t5-mlALT VP4 vPN#R1 (FAFB:1149173)	neuron	female organism|adult brain	Uniglomerular t5-mlALT VP4 vPN#R1	catmaid_fafb:1149173	
1530770	MB-CP2 SCL fragment 68908 (FAFB:1530770)	neuron	female organism|adult brain	MB-CP2 SCL fragment 68908	catmaid_fafb:1530770	
1549518	contralateral MB-CP2 1549519 SAC (FAFB:1549518)	neuron	female organism|adult brain	contralateral MB-CP2 1549519 SAC	catmaid_fafb:1549518	
1746412	KC#384-ab (FAFB:1746412)	neuron	female organism|adult brain	KC#384-ab, FBbt:00100248	catmaid_fafb:1746412	
1775706	Uniglomerular mALT DL1 adPN#R1 (FAFB:1775706)	neuron	female organism|adult brain	Uniglomerular mALT DL1 adPN#R1, FBbt:00067353	catmaid_fafb:1775706	
1785034	Uniglomerular mALT DA2 lPN#R1 (FAFB:1785034)	neuron	female organism|adult brain	Uniglomerular mALT DA2 lPN#R1, FBbt:00110882	catmaid_fafb:1785034	
3104789	KC#395-y (FAFB:3104789)	neuron	female organism|adult brain	KC#395-y, FBbt:00100247	catmaid_fafb:3104789	
3445525	KC#396-y (FAFB:3445525)	neuron	female organism|adult brain	KC#396-y, FBbt:00100247	catmaid_fafb:3445525	
14003783	Uniglomerular mALT VP5 + SEZ adPN#R1 (FAFB:14003783)	neuron	female organism|adult brain	Uniglomerular mALT VP5 + SEZ adPN#R1	catmaid_fafb:14003783	
