filename	label	is_a	part_of	comment	dbxrefs	synonyms
11488267	GRN R2#3 (FAFB:11488267)	neuron	female organism|adult brain	GRN R2#3, FBbt:00048152	catmaid_fafb:11488267	
11522862	GRN R2#4 (FAFB:11522862)	neuron	female organism|adult brain	GRN R2#4, FBbt:00048152	catmaid_fafb:11522862	
11559706	GRN R1#7 (FAFB:11559706)	neuron	female organism|adult brain	GRN R1#7, FBbt:00048152	catmaid_fafb:11559706	
11559730	GRN R1#8 (FAFB:11559730)	neuron	female organism|adult brain	GRN R1#8, FBbt:00048152	catmaid_fafb:11559730	
11559734	GRN R5#12 (FAFB:11559734)	neuron	female organism|adult brain	GRN R5#12, FBbt:00058156	catmaid_fafb:11559734	
11559749	GRN R3#9 (FAFB:11559749)	neuron	female organism|adult brain	GRN R3#9, FBbt:00100043	catmaid_fafb:11559749	
11559792	GRN R5#13 (FAFB:11559792)	neuron	female organism|adult brain	GRN R5#13, FBbt:00058156	catmaid_fafb:11559792	
11559796	GRN R1#9 (FAFB:11559796)	neuron	female organism|adult brain	GRN R1#9, FBbt:00048152	catmaid_fafb:11559796	
11559800	GRN R5#14 (FAFB:11559800)	neuron	female organism|adult brain	GRN R5#14, FBbt:00058156	catmaid_fafb:11559800	
11559804	GRN R6#10 (FAFB:11559804)	neuron	female organism|adult brain	GRN R6#10, FBbt:00100042	catmaid_fafb:11559804	
11559813	GRN R6#11 (FAFB:11559813)	neuron	female organism|adult brain	GRN R6#11, FBbt:00100042	catmaid_fafb:11559813	
11559821	GRN R6#12 (FAFB:11559821)	neuron	female organism|adult brain	GRN R6#12, FBbt:00100042	catmaid_fafb:11559821	
11559827	GRN R6#13 (FAFB:11559827)	neuron	female organism|adult brain	GRN R6#13, FBbt:00100042	catmaid_fafb:11559827	
11559838	GRN R6#14 (FAFB:11559838)	neuron	female organism|adult brain	GRN R6#14, FBbt:00100042	catmaid_fafb:11559838	
11559846	GRN R6#15 (FAFB:11559846)	neuron	female organism|adult brain	GRN R6#15, FBbt:00100042	catmaid_fafb:11559846	
11559858	GRN R3#10 (FAFB:11559858)	neuron	female organism|adult brain	GRN R3#10, FBbt:00100043	catmaid_fafb:11559858	
11559865	GRN R6#16 (FAFB:11559865)	neuron	female organism|adult brain	GRN R6#16, FBbt:00100042	catmaid_fafb:11559865	
11559900	GRN R6#17 (FAFB:11559900)	neuron	female organism|adult brain	GRN R6#17, FBbt:00100042	catmaid_fafb:11559900	
11603401	GRN R2#5 (FAFB:11603401)	neuron	female organism|adult brain	GRN R2#5, FBbt:00048152	catmaid_fafb:11603401	
11635037	GRN R5#15 (FAFB:11635037)	neuron	female organism|adult brain	GRN R5#15, FBbt:00058156	catmaid_fafb:11635037	
11647363	GRN R1#10 (FAFB:11647363)	neuron	female organism|adult brain	GRN R1#10, FBbt:00048152	catmaid_fafb:11647363	
11674090	GRN R1#11 (FAFB:11674090)	neuron	female organism|adult brain	GRN R1#11, FBbt:00048152	catmaid_fafb:11674090	
11675069	GRN L1#5 (FAFB:11675069)	neuron	female organism|adult brain	GRN L1#5, FBbt:00048152	catmaid_fafb:11675069	
11827484	GRN R2#6 (FAFB:11827484)	neuron	female organism|adult brain	GRN R2#6, FBbt:00048152	catmaid_fafb:11827484	
11966486	GRN R3#11 (FAFB:11966486)	neuron	female organism|adult brain	GRN R3#11, FBbt:00100043	catmaid_fafb:11966486	
11967149	GRN R5#16 (FAFB:11967149)	neuron	female organism|adult brain	GRN R5#16, FBbt:00058156	catmaid_fafb:11967149	
11984676	GRN L6#4 (FAFB:11984676)	neuron	female organism|adult brain	GRN L6#4, FBbt:00100043	catmaid_fafb:11984676	
11987931	GRN R3#12 (FAFB:11987931)	neuron	female organism|adult brain	GRN R3#12, FBbt:00100043	catmaid_fafb:11987931	
11995753	GRN R2#7 (FAFB:11995753)	neuron	female organism|adult brain	GRN R2#7, FBbt:00048152	catmaid_fafb:11995753	
12001108	GRN R1#12 (FAFB:12001108)	neuron	female organism|adult brain	GRN R1#12, FBbt:00048152	catmaid_fafb:12001108	
12173900	GRN R6#18 (FAFB:12173900)	neuron	female organism|adult brain	GRN R6#18, FBbt:00100042	catmaid_fafb:12173900	
12215913	GRN L7#5 (FAFB:12215913)	neuron	female organism|adult brain	GRN L7#5, FBbt:00110887	catmaid_fafb:12215913	
12226830	GRN L6#5 (FAFB:12226830)	neuron	female organism|adult brain	GRN L6#5, FBbt:00100043	catmaid_fafb:12226830	
12817585	GRN L4#4 (FAFB:12817585)	neuron	female organism|adult brain	GRN L4#4, FBbt:00110887	catmaid_fafb:12817585	
12871829	GRN R4#15 (FAFB:12871829)	neuron	female organism|adult brain	GRN R4#15, FBbt:00058156	catmaid_fafb:12871829	
12880552	GRN R6#19 (FAFB:12880552)	neuron	female organism|adult brain	GRN R6#19, FBbt:00100042	catmaid_fafb:12880552	
13216531	GRN L7#6 (FAFB:13216531)	neuron	female organism|adult brain	GRN L7#6, FBbt:00110887	catmaid_fafb:13216531	
14444228	GRN L4#5 (FAFB:14444228)	neuron	female organism|adult brain	GRN L4#5, FBbt:00110887	catmaid_fafb:14444228	
14928124	GRN R4#16 (FAFB:14928124)	neuron	female organism|adult brain	GRN R4#16, FBbt:00058156	catmaid_fafb:14928124	
14947928	GRN R6#20 (FAFB:14947928)	neuron	female organism|adult brain	GRN R6#20, FBbt:00100042	catmaid_fafb:14947928	
14947934	GRN R4#17 (FAFB:14947934)	neuron	female organism|adult brain	GRN R4#17, FBbt:00058156	catmaid_fafb:14947934	
14947940	GRN R6#21 (FAFB:14947940)	neuron	female organism|adult brain	GRN R6#21, FBbt:00100042	catmaid_fafb:14947940	
14947952	GRN R6#22 (FAFB:14947952)	neuron	female organism|adult brain	GRN R6#22, FBbt:00100042	catmaid_fafb:14947952	
14947958	GRN R6#23 (FAFB:14947958)	neuron	female organism|adult brain	GRN R6#23, FBbt:00100042	catmaid_fafb:14947958	
16149023	GRN L7#7 (FAFB:16149023)	neuron	female organism|adult brain	GRN L7#7, FBbt:00110887	catmaid_fafb:16149023	
16149029	GRN L7#8 (FAFB:16149029)	neuron	female organism|adult brain	GRN L7#8, FBbt:00110887	catmaid_fafb:16149029	
16149035	GRN L4#6 (FAFB:16149035)	neuron	female organism|adult brain	GRN L4#6, FBbt:00110887	catmaid_fafb:16149035	
16149041	GRN L3#3 (FAFB:16149041)	neuron	female organism|adult brain	GRN L3#3, FBbt:00110887	catmaid_fafb:16149041	
16149047	GRN L5#3 (FAFB:16149047)	neuron	female organism|adult brain	GRN L5#3, FBbt:00110887	catmaid_fafb:16149047	
16149053	GRN L5#4 (FAFB:16149053)	neuron	female organism|adult brain	GRN L5#4, FBbt:00110887	catmaid_fafb:16149053	
16149059	GRN L7#9 (FAFB:16149059)	neuron	female organism|adult brain	GRN L7#9, FBbt:00110887	catmaid_fafb:16149059	
16149065	GRN L7#10 (FAFB:16149065)	neuron	female organism|adult brain	GRN L7#10, FBbt:00110887	catmaid_fafb:16149065	
16149077	GRN L1#6 (FAFB:16149077)	neuron	female organism|adult brain	GRN L1#6, FBbt:00048152	catmaid_fafb:16149077	
16149083	GRN L4#7 (FAFB:16149083)	neuron	female organism|adult brain	GRN L4#7, FBbt:00110887	catmaid_fafb:16149083	
16149089	GRN L4#8 (FAFB:16149089)	neuron	female organism|adult brain	GRN L4#8, FBbt:00110887	catmaid_fafb:16149089	
16149095	GRN L4#9 (FAFB:16149095)	neuron	female organism|adult brain	GRN L4#9, FBbt:00110887	catmaid_fafb:16149095	
16149101	GRN L4#10 (FAFB:16149101)	neuron	female organism|adult brain	GRN L4#10, FBbt:00110887	catmaid_fafb:16149101	
16149107	GRN L3#4 (FAFB:16149107)	neuron	female organism|adult brain	GRN L3#4, FBbt:00110887	catmaid_fafb:16149107	
16149113	GRN L4#11 (FAFB:16149113)	neuron	female organism|adult brain	GRN L4#11, FBbt:00110887	catmaid_fafb:16149113	
16149119	GRN L4#12 (FAFB:16149119)	neuron	female organism|adult brain	GRN L4#12, FBbt:00110887	catmaid_fafb:16149119	
16149125	GRN L2#5 (FAFB:16149125)	neuron	female organism|adult brain	GRN L2#5, FBbt:00048152	catmaid_fafb:16149125	
16149131	GRN L2#6 (FAFB:16149131)	neuron	female organism|adult brain	GRN L2#6, FBbt:00048152	catmaid_fafb:16149131	
16149137	GRN L4#13 (FAFB:16149137)	neuron	female organism|adult brain	GRN L4#13, FBbt:00110887	catmaid_fafb:16149137	
16149144	GRN L2#7 (FAFB:16149144)	neuron	female organism|adult brain	GRN L2#7, FBbt:00048152	catmaid_fafb:16149144	
16149150	GRN L2#8 (FAFB:16149150)	neuron	female organism|adult brain	GRN L2#8, FBbt:00048152	catmaid_fafb:16149150	
16149158	GRN L7#11 (FAFB:16149158)	neuron	female organism|adult brain	GRN L7#11, FBbt:00110887	catmaid_fafb:16149158	
16149164	GRN L2#9 (FAFB:16149164)	neuron	female organism|adult brain	GRN L2#9, FBbt:00048152	catmaid_fafb:16149164	
16149171	GRN L4#14 (FAFB:16149171)	neuron	female organism|adult brain	GRN L4#14, FBbt:00110887	catmaid_fafb:16149171	
16149178	GRN L4#15 (FAFB:16149178)	neuron	female organism|adult brain	GRN L4#15, FBbt:00110887	catmaid_fafb:16149178	
16149184	GRN L2#10 (FAFB:16149184)	neuron	female organism|adult brain	GRN L2#10, FBbt:00048152	catmaid_fafb:16149184	
16149191	GRN L7#12 (FAFB:16149191)	neuron	female organism|adult brain	GRN L7#12, FBbt:00110887	catmaid_fafb:16149191	
16149198	GRN L7#13 (FAFB:16149198)	neuron	female organism|adult brain	GRN L7#13, FBbt:00110887	catmaid_fafb:16149198	
