Template	Painted_domain	Instances	Anatomy
L3 CNS template - Wood2018_c	left centrolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of A1 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	left centrolateral subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['centrolateral domain of larval central nervous system']
L3 CNS template - Wood2018_c	right central neuropil of T3 on L3 CNS template, Wood2018	1	['central domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['ventrolateral domain of larval central nervous system']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of T3 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T3 neuromere', 'ventrolateral domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['ventromedial domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A3 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of A7 on L3 CNS template, Wood2018	1	['centromedial domain of larval A7 neuromere']
adult VNS template - Court2018_c	posterior dorsal mesothoracic nerve on adult VNS template, Court2018	1	['adult posterior dorsal mesothoracic nerve']
adult VNS template - Court2018_c	adult metathoracic neuromere on adult VNS template, Court2018	1	['adult metathoracic neuromere']
adult VNS template - Court2018_c	mesothoracic leg nerve on adult VNS template, Court2018	1	['adult mesothoracic leg nerve']
adult VNS template - Court2018_c	accessory metathoracic nerve on adult VNS template, Court2018	1	['adult first abdominal nerve']
adult VNS template - Court2018_c	metathoracic leg nerve on adult VNS template, Court2018	1	['adult metathoracic leg nerve']
adult VNS template - Court2018_c	abdominal segment 4 nerve on adult VNS template, Court2018	1	['adult fourth abdominal nerve']
adult VNS template - Court2018_c	adult prothoracic neuromere on adult VNS template, Court2018	1	['adult prothoracic neuromere']
adult VNS template - Court2018_c	adult mesothoracic neuromere on adult VNS template, Court2018	1	['adult mesothoracic neuromere']
adult VNS template - Court2018_c	adult accessory mesothoracic neuromere on adult VNS template, Court2018	1	['adult accessory mesothoracic neuropil']
adult VNS template - Court2018_c	abdominal nerve trunk on adult VNS template, Court2018	1	['adult abdominal nerve trunk']
adult VNS template - Court2018_c	accessory prothoracic nerve on adult VNS template, Court2018	1	['adult prothoracic accessory nerve']
adult VNS template - Court2018_c	abdominal segment 3 nerve on adult VNS template, Court2018	1	['adult third abdominal nerve']
adult VNS template - Court2018_c	dorsal prothoracic nerve on adult VNS template, Court2018	1	['adult dorsal prothoracic nerve']
adult VNS template - Court2018_c	ventral prothoracic nerve on adult VNS template, Court2018	1	['adult ventral prothoracic nerve']
adult VNS template - Court2018_c	cervical connective on adult VNS template, Court2018	1	['adult cervical connective']
adult VNS template - Court2018_c	dorsal metathoracic nerve on adult VNS template, Court2018	1	['adult dorsal metathoracic nerve']
adult VNS template - Court2018_c	anterior dorsal mesothoracic nerve on adult VNS template, Court2018	1	['adult anterior dorsal mesothoracic nerve']
adult VNS template - Court2018_c	abdominal segment 2 nerve on adult VNS template, Court2018	1	['adult second abdominal nerve']
adult VNS template - Court2018_c	prothoracic leg nerve on adult VNS template, Court2018	1	['adult prothoracic leg nerve']
adult VNS template - Court2018_c	accessory mesothoracic nerve on adult VNS template, Court2018	1	['adult mesothoracic accessory nerve']
adult VNS template - Court2018_c	adult abdominal neuromere on adult VNS template, Court2018	1	['adult abdominal neuromere']
