filename	label	is_a	part_of	dbxrefs
10423	neuron 10424 (10423)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10423
10525	neuron 10526 (10525)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10525
10530	neuron 10531 (10530)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10530
10535	neuron 10536 (10535)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10535
10541	neuron 10542 (10541)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10541
10546	neuron 10547 (10546)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10546
10551	neuron 10552 (10551)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10551
10556	neuron 10557 (10556)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10556
10561	neuron 10562 (10561)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10561
10566	neuron 10567 (10566)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10566
10571	neuron 10572 (10571)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10571
10576	neuron 10577 (10576)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10576
10581	neuron 10582 (10581)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10581
10640	neuron 10641 (10640)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10640
10645	neuron 10646 (10645)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10645
10650	neuron 10651 (10650)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10650
10655	neuron 10656 (10655)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10655
10660	neuron 10661 (10660)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10660
10665	neuron 10666 (10665)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10665
10672	neuron 10673 (10672)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10672
10679	neuron 10680 (10679)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10679
10767	neuron 10768 (10767)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10767
10775	neuron 10776 (10775)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10775
10780	neuron 10781 (10780)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10780
10795	neuron 10796 (10795)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10795
10801	neuron 10802 (10801)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10801
10812	neuron 10813 (10812)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10812
10828	neuron 10829 (10828)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10828
10840	neuron 10841 (10840)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10840
10970	neuron 10971 (10970)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10970
10985	neuron 10986 (10985)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:10985
11001	neuron 11002 (11001)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11001
11010	neuron 11011 (11010)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11010
11042	neuron 11043 (11042)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11042
11051	neuron 11052 (11051)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11051
11061	neuron 11062 (11061)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11061
11126	neuron 11127 (11126)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11126
11171	neuron 11172 (11171)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11171
11181	neuron 11182 (11181)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11181
11212	neuron 11213 (11212)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11212
11284	neuron 11285 (11284)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11284
11298	neuron 11299 (11298)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11298
11319	neuron 11320 (11319)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11319
11338	neuron 11339 (11338)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11338
11348	neuron 11349 (11348)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11348
11379	neuron 11380 (11379)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11379
11391	neuron 11392 (11391)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11391
11402	neuron 11403 (11402)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11402
11412	neuron 11413 (11412)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11412
11439	neuron 11440 (11439)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11439
11467	neuron 11468 (11467)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11467
11487	neuron 11488 (11487)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11487
11492	neuron 11493 (11492)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11492
11497	neuron 11498 (11497)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11497
11596	neuron 11597 (11596)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11596
11607	neuron 11608 (11607)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11607
11615	neuron 11616 (11615)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11615
11656	neuron 11657 (11656)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11656
11681	neuron 11682 (11681)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11681
11697	neuron 11698 (11697)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11697
11714	neuron 11715 (11714)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11714
11739	neuron 11740 (11739)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11739
11743	neuron 11744 (11743)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11743
11747	neuron 11748 (11747)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11747
11769	neuron 11770 (11769)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11769
11773	neuron 11774 (11773)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11773
11786	neuron 11787 (11786)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11786
11791	neuron 11792 (11791)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11791
11796	neuron 11797 (11796)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11796
11801	neuron 11802 (11801)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11801
11806	neuron 11807 (11806)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11806
11811	neuron 11812 (11811)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11811
11816	neuron 11817 (11816)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11816
11933	neuron 11934 (11933)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11933
11943	neuron 11944 (11943)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:11943
12238	neuron 12239 (12238)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12238
12242	neuron 12243 (12242)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12242
12256	neuron 12257 (12256)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12256
12261	neuron 12262 (12261)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12261
12266	neuron 12267 (12266)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12266
12274	neuron 12275 (12274)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12274
12320	neuron 12321 (12320)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12320
12401	neuron 12402 (12401)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12401
12424	neuron 12425 (12424)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12424
12441	neuron 12442 (12441)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12441
12450	neuron 12451 (12450)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12450
12472	neuron 12473 (12472)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12472
12478	neuron 12479 (12478)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12478
12602	neuron 12603 (12602)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12602
12637	neuron 12638 (12637)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12637
12707	neuron 12708 (12707)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12707
12735	neuron 12736 (12735)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12735
12766	neuron 12767 (12766)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12766
12781	neuron 12782 (12781)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12781
12785	neuron 12786 (12785)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12785
12802	neuron 12803 (12802)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12802
12813	neuron 12814 (12813)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12813
12821	neuron 12822 (12821)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12821
12916	peripherally synapsing interneuron_left (12916)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12916
12963	neuron 12964 (12963)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12963
12968	neuron 12969 (12968)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12968
12989	neuron 12990 (12989)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:12989
13012	neuron 13013 (13012)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13012
13018	neuron 13019 (13018)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13018
13024	neuron 13025 (13024)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13024
13030	neuron 13031 (13030)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13030
13035	neuron 13036 (13035)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13035
13044	neuron 13045 (13044)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13044
13048	neuron 13049 (13048)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13048
13053	neuron 13054 (13053)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13053
13069	neuron 13070 (13069)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13069
13078	neuron 13079 (13078)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13078
13094	neuron 13095 (13094)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13094
13169	neuron 13170 (13169)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13169
13188	neuron 13189 (13188)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13188
13746	neuron 13747 (13746)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13746
13950	neuron 13951 (13950)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13950
13957	neuron 13958 (13957)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:13957
14561	neuron 14562 (14561)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14561
14712	neuron 14713 (14712)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14712
14720	neuron 14721 (14720)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14720
14766	neuron 14767 (14766)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14766
14820	neuron 14821 (14820)	neuron	female organism|adult ventral nervous system	catmaid_vnc1:14820
