filename	label	is_a	part_of	dbxrefs	synonyms
9039579	VP4 vPN_L	neuron	female organism|adult brain	catmaid_fafb:9039579	9039579
9069835	LHPV6h1#1	neuron	female organism|adult brain	catmaid_fafb:9069835	9069835
9101937	VP1m+VP2 lvPN1#1_L	neuron	female organism|adult brain	catmaid_fafb:9101937	9101937
9117955	KCa'b'-ap1_R#12	neuron	female organism|adult brain	catmaid_fafb:9117955	9117955
9159128	VP2 adPN_L	neuron	female organism|adult brain	catmaid_fafb:9159128	9159128
9159383	AV3r1#2_L	neuron	female organism|adult brain	catmaid_fafb:9159383	9159383
9362353	DN1a#2_L	neuron	female organism|adult brain	catmaid_fafb:9362353	9362353
9511430	VP5+SEZ adPN_L	neuron	female organism|adult brain	catmaid_fafb:9511430	9511430
9573191	VP3RNal#1	neuron	female organism|adult brain	catmaid_fafb:9573191	9573191
9573214	VP3RNal#4	neuron	female organism|adult brain	catmaid_fafb:9573214	9573214
9573225	VP3RNal#3	neuron	female organism|adult brain	catmaid_fafb:9573225	9573225
9584821	VP2RNl#2	neuron	female organism|adult brain	catmaid_fafb:9584821	9584821
9585262	VP2RNl#3	neuron	female organism|adult brain	catmaid_fafb:9585262	9585262
9586382	VP1dRNl#4	neuron	female organism|adult brain	catmaid_fafb:9586382	9586382
9588361	VP3RNal#2	neuron	female organism|adult brain	catmaid_fafb:9588361	9588361
9588978	VP1m+ lvPN_L	neuron	female organism|adult brain	catmaid_fafb:9588978	9588978
9590169	VP1m+VP2 lvPN2_L	neuron	female organism|adult brain	catmaid_fafb:9590169	9590169
9610210	VP1dRNl#1	neuron	female organism|adult brain	catmaid_fafb:9610210	9610210
9610756	VP5RNl#1	neuron	female organism|adult brain	catmaid_fafb:9610756	9610756
9611706	VP5RNl#2	neuron	female organism|adult brain	catmaid_fafb:9611706	9611706
9611893	VP5RNl#3	neuron	female organism|adult brain	catmaid_fafb:9611893	9611893
9612139	VP5RNl#4	neuron	female organism|adult brain	catmaid_fafb:9612139	9612139
9612147	VP5RNl#5	neuron	female organism|adult brain	catmaid_fafb:9612147	9612147
9614216	VP2RNl#1	neuron	female organism|adult brain	catmaid_fafb:9614216	9614216
9704839	VP5+VP3 l2PN_L	neuron	female organism|adult brain	catmaid_fafb:9704839	9704839
9711486	LHAV3f1#1_L	neuron	female organism|adult brain	catmaid_fafb:9711486	9711486
9716626	VP1d+VP4 l2PN1_L	neuron	female organism|adult brain	catmaid_fafb:9716626	9716626
9717951	VP1m++ smPN*_L	neuron	female organism|adult brain	catmaid_fafb:9717951	9717951
9740174	VP1d+VP4 l2PN2_L	neuron	female organism|adult brain	catmaid_fafb:9740174	9740174
9942769	KCgL#1	neuron	female organism|adult brain	catmaid_fafb:9942769	9942769
9951834	PD5g1#3	neuron	female organism|adult brain	catmaid_fafb:9951834	9951834
10078400	Multiglomerular mALT l2PN#R5	neuron	female organism|adult brain	catmaid_fafb:10078400	10078400
10515783	VP2+VC5 l2PN_L	neuron	female organism|adult brain	catmaid_fafb:10515783	10515783
10527316	KCgR#11	neuron	female organism|adult brain	catmaid_fafb:10527316	10527316
11052217	VP2+VP5 lvPN#1_L	neuron	female organism|adult brain	catmaid_fafb:11052217	11052217
11128057	PV6r1#4	neuron	female organism|adult brain	catmaid_fafb:11128057	11128057
11210831	PD5g1#1	neuron	female organism|adult brain	catmaid_fafb:11210831	11210831
11219809	VP1dRNr#6	neuron	female organism|adult brain	catmaid_fafb:11219809	11219809
11220858	VP1dRNr#7	neuron	female organism|adult brain	catmaid_fafb:11220858	11220858
11234968	Uniglomerular t10-lALT VP3+l2PN#R1	neuron	female organism|adult brain	catmaid_fafb:11234968	11234968
11524119	Uniglomerular lALT VP1m l2PN#R1	neuron	female organism|adult brain	catmaid_fafb:11524119	11524119
11524452	DN1-l	neuron	female organism|adult brain	catmaid_fafb:11524452	11524452
11543519	LHAV2d1#1	neuron	female organism|adult brain	catmaid_fafb:11543519	11543519
11545803	LHAV3f1#1	neuron	female organism|adult brain	catmaid_fafb:11545803	11545803
11546775	Multiglomerular t6-mALT smPN#R1	neuron	female organism|adult brain	catmaid_fafb:11546775	11546775
11648695	VP1lRNr#5	neuron	female organism|adult brain	catmaid_fafb:11648695	11648695
12229707	VP1mRNr#6	neuron	female organism|adult brain	catmaid_fafb:12229707	12229707
12232904	VP1lRNr#6	neuron	female organism|adult brain	catmaid_fafb:12232904	12232904
12234527	VP1dRNr#8	neuron	female organism|adult brain	catmaid_fafb:12234527	12234527
12242212	VP1dRNr#9	neuron	female organism|adult brain	catmaid_fafb:12242212	12242212
12514898	VP4RNr#6	neuron	female organism|adult brain	catmaid_fafb:12514898	12514898
12638434	VP4RNl#4	neuron	female organism|adult brain	catmaid_fafb:12638434	12638434
12640883	VP4RNr#7	neuron	female organism|adult brain	catmaid_fafb:12640883	12640883
12643158	VP4RNr#8	neuron	female organism|adult brain	catmaid_fafb:12643158	12643158
12647035	VP4RNl#5	neuron	female organism|adult brain	catmaid_fafb:12647035	12647035
12681995	VP1m+VP2 lvPN1#2_L	neuron	female organism|adult brain	catmaid_fafb:12681995	12681995
12702477	VP1dRNl#2	neuron	female organism|adult brain	catmaid_fafb:12702477	12702477
12702677	VP1dRNl#7	neuron	female organism|adult brain	catmaid_fafb:12702677	12702677
12709197	VP4RNl#6	neuron	female organism|adult brain	catmaid_fafb:12709197	12709197
12713426	VP4RNr#9	neuron	female organism|adult brain	catmaid_fafb:12713426	12713426
12717819	VP4RNr#10	neuron	female organism|adult brain	catmaid_fafb:12717819	12717819
12734515	VP1mRNl#2	neuron	female organism|adult brain	catmaid_fafb:12734515	12734515
12765352	VP5RNl#6	neuron	female organism|adult brain	catmaid_fafb:12765352	12765352
12766362	VP1mRNl#4	neuron	female organism|adult brain	catmaid_fafb:12766362	12766362
12766859	VP1mRNl#6	neuron	female organism|adult brain	catmaid_fafb:12766859	12766859
12770538	VP5RNl#7	neuron	female organism|adult brain	catmaid_fafb:12770538	12770538
12776427	VP1mRNl#1	neuron	female organism|adult brain	catmaid_fafb:12776427	12776427
12780133	VP1dRNl#5	neuron	female organism|adult brain	catmaid_fafb:12780133	12780133
12782012	VP1dRNl#6	neuron	female organism|adult brain	catmaid_fafb:12782012	12782012
12805737	VP4+ vPN_L	neuron	female organism|adult brain	catmaid_fafb:12805737	12805737
12819065	VP4RNr#11	neuron	female organism|adult brain	catmaid_fafb:12819065	12819065
12819089	VP4RNl#7	neuron	female organism|adult brain	catmaid_fafb:12819089	12819089
12819231	VP4RNl#8	neuron	female organism|adult brain	catmaid_fafb:12819231	12819231
12819297	VP4RNl#9	neuron	female organism|adult brain	catmaid_fafb:12819297	12819297
12819339	VP4RNl#10	neuron	female organism|adult brain	catmaid_fafb:12819339	12819339
12819401	VP4RNl#11	neuron	female organism|adult brain	catmaid_fafb:12819401	12819401
12819438	VP4RNl#12	neuron	female organism|adult brain	catmaid_fafb:12819438	12819438
12819448	VP4RNr#13	neuron	female organism|adult brain	catmaid_fafb:12819448	12819448
12819460	VP4RNl#13	neuron	female organism|adult brain	catmaid_fafb:12819460	12819460
12819469	VP4RNl#14	neuron	female organism|adult brain	catmaid_fafb:12819469	12819469
12819487	VP4RNr#14	neuron	female organism|adult brain	catmaid_fafb:12819487	12819487
13053419	VP5 l2PN_L	neuron	female organism|adult brain	catmaid_fafb:13053419	13053419
13054040	VP2RNl#4	neuron	female organism|adult brain	catmaid_fafb:13054040	13054040
13154015	VP2 l2PN_L	neuron	female organism|adult brain	catmaid_fafb:13154015	13154015
13159715	VP3+ l2PN1#2_L	neuron	female organism|adult brain	catmaid_fafb:13159715	13159715
13159719	VP5+VP2 l2PN#1_L	neuron	female organism|adult brain	catmaid_fafb:13159719	13159719
13159728	VP3+ l2PN1#1_L	neuron	female organism|adult brain	catmaid_fafb:13159728	13159728
13159741	VP3+ l2PN2#1_L	neuron	female organism|adult brain	catmaid_fafb:13159741	13159741
13272972	VP1m+VP1d vPN_L	neuron	female organism|adult brain	catmaid_fafb:13272972	13272972
13492671	VP1l+ lvPN1#3_L	neuron	female organism|adult brain	catmaid_fafb:13492671	13492671
13599618	VP1lRNl#3	neuron	female organism|adult brain	catmaid_fafb:13599618	13599618
13599868	VP1lRNl#4	neuron	female organism|adult brain	catmaid_fafb:13599868	13599868
13599881	VP1lRNl#5	neuron	female organism|adult brain	catmaid_fafb:13599881	13599881
13599982	VP1dRNl#3	neuron	female organism|adult brain	catmaid_fafb:13599982	13599982
13604008	VP1mRNl#3	neuron	female organism|adult brain	catmaid_fafb:13604008	13604008
13613023	VP1mRNl#7	neuron	female organism|adult brain	catmaid_fafb:13613023	13613023
13635531	VP1mRNl#5	neuron	female organism|adult brain	catmaid_fafb:13635531	13635531
13931917	VP1m+VP2 lvPN1#3_L	neuron	female organism|adult brain	catmaid_fafb:13931917	13931917
13950267	VC5++ l2PN1#2*_L	neuron	female organism|adult brain	catmaid_fafb:13950267	13950267
14003783	Uniglomerular mALT VP5 + SEZ adPN#R1	neuron	female organism|adult brain	catmaid_fafb:14003783	14003783
14005954	VP1m++ l2PN*_L	neuron	female organism|adult brain	catmaid_fafb:14005954	14005954
15348426	VP4RNr#12	neuron	female organism|adult brain	catmaid_fafb:15348426	15348426
15423548	LHPD5a1#1_L	neuron	female organism|adult brain	catmaid_fafb:15423548	15423548
