filename	label	is_a	part_of	dbxrefs
11487	neuron 11488 (FANC:11487)	neuron|sensory neuron	female organism|adult ventral nerve cord	
11492	neuron 11493 (FANC:11492)	neuron|sensory neuron	female organism|adult ventral nerve cord	
11497	neuron 11498 (FANC:11497)	neuron|sensory neuron	female organism|adult ventral nerve cord	
11596	neuron 11597 (FANC:11596)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11607	neuron 11608 (FANC:11607)	neuron|motor neuron	female organism|adult ventral nerve cord	
11615	neuron 11616 (FANC:11615)	neuron|motor neuron	female organism|adult ventral nerve cord	
11656	neuron 11657 (FANC:11656)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11681	neuron 11682 (FANC:11681)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11697	neuron 11698 (FANC:11697)	neuron	female organism|adult ventral nerve cord	
11714	neuron 11715 (FANC:11714)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11739	neuron 11740 (FANC:11739)	neuron|sensory neuron	female organism|adult ventral nerve cord	
11743	neuron 11744 (FANC:11743)	neuron|sensory neuron	female organism|adult ventral nerve cord	
11747	neuron 11748 (FANC:11747)	neuron|sensory neuron	female organism|adult ventral nerve cord	
11769	neuron 11770 (FANC:11769)	neuron|sensory neuron	female organism|adult ventral nerve cord	
11773	neuron 11774 (FANC:11773)	neuron|sensory neuron	female organism|adult ventral nerve cord	
11786	neuron 11787 (FANC:11786)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11791	neuron 11792 (FANC:11791)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11796	neuron 11797 (FANC:11796)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11801	neuron 11802 (FANC:11801)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11806	neuron 11807 (FANC:11806)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
11811	neuron 11812 (FANC:11811)	neuron|sensory neuron|hair plate	female organism|adult ventral nerve cord	
11816	neuron 11817 (FANC:11816)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11933	neuron 11934 (FANC:11933)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
11943	neuron 11944 (FANC:11943)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12238	neuron 12239 (FANC:12238)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12242	neuron 12243 (FANC:12242)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12256	neuron 12257 (FANC:12256)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12261	neuron 12262 (FANC:12261)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12266	neuron 12267 (FANC:12266)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12274	neuron 12275 (FANC:12274)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12320	neuron 12321 (FANC:12320)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12401	neuron 12402 (FANC:12401)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12424	neuron 12425 (FANC:12424)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12441	neuron 12442 (FANC:12441)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12450	neuron 12451 (FANC:12450)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12472	neuron 12473 (FANC:12472)	neuron|sensory neuron	female organism|adult ventral nerve cord	
12478	neuron 12479 (FANC:12478)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
12602	neuron 12603 (FANC:12602)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
12637	neuron 12638 (FANC:12637)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
12707	neuron 12708 (FANC:12707)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12735	neuron 12736 (FANC:12735)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12766	neuron 12767 (FANC:12766)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12781	neuron 12782 (FANC:12781)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
12785	neuron 12786 (FANC:12785)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12802	neuron 12803 (FANC:12802)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12813	neuron 12814 (FANC:12813)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
12821	neuron 12822 (FANC:12821)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12916	peripherally synapsing interneuron_left (FANC:12916)	neuron|peripherally synapsing interneuron	female organism|adult ventral nerve cord	
12963	neuron 12964 (FANC:12963)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
12968	neuron 12969 (FANC:12968)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
12989	neuron 12990 (FANC:12989)	neuron|motor neuron	female organism|adult ventral nerve cord	
13012	neuron 13013 (FANC:13012)	neuron|motor neuron	female organism|adult ventral nerve cord	
13018	neuron 13019 (FANC:13018)	neuron|motor neuron	female organism|adult ventral nerve cord	
13024	neuron 13025 (FANC:13024)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
13030	neuron 13031 (FANC:13030)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
13035	neuron 13036 (FANC:13035)	neuron|motor neuron|prothoracic leg muscle motor neuron	female organism|adult ventral nerve cord	
13044	neuron 13045 (FANC:13044)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
13048	neuron 13049 (FANC:13048)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
13053	neuron 13054 (FANC:13053)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
13069	neuron 13070 (FANC:13069)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
13078	neuron 13079 (FANC:13078)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
13094	neuron 13095 (FANC:13094)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
13169	neuron 13170 (FANC:13169)	neuron|motor neuron	female organism|adult ventral nerve cord	
13188	neuron 13189 (FANC:13188)	neuron|sensory neuron|campaniform sensillum	female organism|adult ventral nerve cord	
13746	neuron 13747 (FANC:13746)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
13950	neuron 13951 (FANC:13950)	neuron|motor neuron	female organism|adult ventral nerve cord	
13957	neuron 13958 (FANC:13957)	neuron|motor neuron	female organism|adult ventral nerve cord	
14561	neuron 14562 (FANC:14561)	neuron|sensory neuron	female organism|adult ventral nerve cord	
14712	neuron 14713 (FANC:14712)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
14720	neuron 14721 (FANC:14720)	neuron|sensory neuron	female organism|adult ventral nerve cord	
14766	neuron 14767 (FANC:14766)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
14820	neuron 14821 (FANC:14820)	neuron|sensory neuron	female organism|adult ventral nerve cord	
14892	neuron 14893 (FANC:14892)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
14897	neuron 14898 (FANC:14897)	neuron|sensory neuron|chordotonal neuron	female organism|adult ventral nerve cord	
14905	neuron 14906 (FANC:14905)	neuron|sensory neuron	female organism|adult ventral nerve cord	
14939	neuron 14940 (FANC:14939)	neuron|motor neuron	female organism|adult ventral nerve cord	
14948	neuron 14949 (FANC:14948)	neuron|motor neuron	female organism|adult ventral nerve cord	
14969	neuron 14970 (FANC:14969)	neuron|sensory neuron	female organism|adult ventral nerve cord	
15047	neuron 15048 (FANC:15047)	neuron|sensory neuron	female organism|adult ventral nerve cord	
15083	neuron 15084 (FANC:15083)	neuron|motor neuron	female organism|adult ventral nerve cord	
15098	neuron 15099 (FANC:15098)	neuron|sensory neuron	female organism|adult ventral nerve cord	
