filename	label	is_a	part_of	comment	dbxrefs
606166	neuron 101246 (FANC:606166)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606166
606178	neuron 82816 (FANC:606178)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606178
606190	scolopidium 103296 (FANC:606190)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606190
606203	neuron 95106 (FANC:606203)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 120611, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon	catmaid_leg40:606203
606219	muscle 93061 (FANC:606219)	neuron	female organism|adult ventral nerve cord	femur muscle 4, anterior tibia reductor muscle fiber, femoral muscle fiber	catmaid_leg40:606219
606232	neuron 101253 (FANC:606232)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606232
606244	scolopidium 103301 (FANC:606244)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon	catmaid_leg40:606244
606257	neuron 82824 (FANC:606257)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606257
606269	neuron 95112 (FANC:606269)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103229, femoral chordotonal neuron, attaches to distal branch of FeCO medial tendon	catmaid_leg40:606269
606284	scolopidium 103306 (FANC:606284)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to distal branch of FeCO medial tendon	catmaid_leg40:606284
606297	muscle 93067 (FANC:606297)	neuron	female organism|adult ventral nerve cord	femur muscle 4, tibia flexor muscle fiber, femoral muscle fiber	catmaid_leg40:606297
606311	muscle 213896 (FANC:606311)	neuron	female organism|adult ventral nerve cord	trochanter muscle 2, trochanteral muscle fiber	catmaid_leg40:606311
606323	neuron 101261 (FANC:606323)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606323
606335	neuron 82830 (FANC:606335)	neuron	female organism|adult nervous system	femoral bristle, damaged, sensory neuron	catmaid_leg40:606335
606348	scolopidium 103311 (FANC:606348)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606348
606361	neuron 101267 (FANC:606361)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606361
606373	neuron 82836 (FANC:606373)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606373
606385	neuron 95124 (FANC:606385)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103332, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606385
606401	scolopidium 103317 (FANC:606401)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606401
606414	muscle 213910 (FANC:606414)	neuron	female organism|adult ventral nerve cord	trochanter muscle 1, trochanteral muscle fiber	catmaid_leg40:606414
606426	neuron 82842 (FANC:606426)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606426
606438	scolopidium 103322 (FANC:606438)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606438
606452	scolopidium 103327 (FANC:606452)	neuron	female organism|adult ventral nerve cord	dually-innervated scolopidium, femoral scolopidium, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606452
606465	neuron 82848 (FANC:606465)	neuron	female organism|adult nervous system	femoral bristle, sensory neuron	catmaid_leg40:606465
606477	muscle 93088 (FANC:606477)	neuron	female organism|adult ventral nerve cord	femur muscle 5b, tibia flexor muscle fiber, femoral muscle fiber	catmaid_leg40:606477
606492	neuron 95136 (FANC:606492)	neuron	female organism|adult nervous system	sensory neuron, innervates scolopidium 103332, femoral chordotonal neuron, attaches to proximal branch of FeCO medial tendon	catmaid_leg40:606492
606507	neuron 101283 (FANC:606507)	neuron	female organism|adult nervous system	sensory neuron, tibial bristle	catmaid_leg40:606507
